topic,mod_spec,BIC,chisq,npar,rmsea,converged,nobs,type
t0,AUM2,57344.97314487534,386.58099631932384,3,0.13586116060076378,TRUE,6927,AUM
t0,AUM4,56976.230885276076,0.1523725240062177,5,0,TRUE,6927,AUM
t0,SDM2,56969.19368984048,1.9583591864436416,4,0,TRUE,6927,SDM
t1,AUM2,48722.72470767424,614.9418339898402,3,0.17160180461180924,TRUE,6927,AUM
t1,AUM4,48126.483707717125,1.0144698366896447,5,0.0014453040544047337,TRUE,6927,AUM
t1,SDM2,48125.22397836527,8.597922582848502,4,0.021823078559651887,TRUE,6927,SDM
t2,AUM2,55586.411417768795,289.15486154511245,3,0.1173457440795498,TRUE,6927,AUM
t2,AUM4,55315.111779228704,0.16885880897094907,5,0,TRUE,6927,AUM
t2,SDM2,55370.920346009676,64.82060768798476,4,0.06733850572376784,TRUE,6927,SDM
t3,AUM2,56049.12971323138,575.2890645803925,3,0.16594894757575598,TRUE,6927,AUM
t3,AUM4,55520.82267032299,29.29565747596613,5,0.06391272004873992,TRUE,6927,AUM
t3,SDM2,55686.475865705484,203.79203495648667,4,0.12068809113830441,TRUE,6927,SDM
t4,AUM2,54922.31829150273,555.1216318755094,3,0.16299870735520053,TRUE,6927,AUM
t4,AUM4,54385.747324002026,0.8643001787486027,5,0,TRUE,6927,AUM
t4,SDM2,54390.60619983546,14.566358110209142,4,0.030117375539449504,TRUE,6927,SDM
t5,AUM2,46833.64274170592,1608.6803244753648,3,0.2779689724590465,TRUE,6927,AUM
t5,AUM4,45279.28173201411,36.63295058752087,5,0.07172214985871002,TRUE,6927,AUM
t5,SDM2,45293.277801409175,59.47220208061258,4,0.06440822446927776,TRUE,6927,SDM
t6,AUM2,44380.40006690243,769.2934174872361,3,0.19202789724215924,TRUE,6927,AUM
t6,AUM4,43659.20372806614,30.410714454890236,5,0.06515986764937932,TRUE,6927,AUM
t6,SDM2,43692.86262372664,72.9127922134195,4,0.07154424441970916,TRUE,6927,SDM
t7,AUM2,48237.614345501795,529.2986959086654,3,0.15914130892261888,TRUE,6927,AUM
t7,AUM4,47779.67134231636,53.669328527194345,5,0.08719795443621214,TRUE,6927,AUM
t7,SDM2,47871.51741254625,154.35858085510893,4,0.10486869599354759,TRUE,6927,SDM
t8,AUM2,58930.87058214223,514.7182436059768,3,0.1569214198734795,TRUE,6927,AUM
t8,AUM4,58771.55894937581,337.7202466435086,5,0.2204763556325905,TRUE,6927,AUM
t8,SDM2,58769.01103061595,344.0155099816597,4,0.15712138871339912,TRUE,6927,SDM
t9,AUM2,54588.269182723045,487.63577833286564,3,0.1527124748116041,TRUE,6927,AUM
t9,AUM4,54131.46394097191,13.14417238569489,5,0.04187081051819958,TRUE,6927,AUM
