topic,mod_spec,BIC,chisq,npar,rmsea,converged,nobs,type,BIC_diff,verdict
t16,AUM3,31027.14520846629,76.94559073483049,7,0.10345750254170352,TRUE,3501,AUM,-1167.1454033102927,AUM
t17,SDM1,29730.46941126466,20.79235734715707,6,0.04115854973208445,TRUE,3501,SDM,-7.322612828003912,SDM
t18,AUM3,32399.718152078003,13.338502086012697,7,0.040240816945903056,TRUE,3501,AUM,-228.25933660038208,AUM
t19,SDM1,30040.995609956834,15.775508641648026,6,0.03487646162005956,TRUE,3501,SDM,-3.2537551824061666,SDM
t20,SDM2,27886.06975000904,33.31496465367008,7,0.06687517164357717,TRUE,3501,SDM,-7.393639556692506,SDM
t21,SDM1,33093.289172722216,34.61082749504449,6,0.054860687989179896,TRUE,3501,SDM,-1.421110627343296,Inconclusive
t22,SDM1,26982.753095278804,16.86841946557862,6,0.036337647002745596,TRUE,3501,SDM,-2.7071255639639276,SDM
t23,AUM3,28262.588386302705,4.17286566389622,7,0.01761592227203735,TRUE,3501,AUM,-32.795704174841376,AUM
t24,SDM1,26177.22579498619,5.348609742614104,6,0.014953702847463671,TRUE,3501,SDM,-8.154837718080671,SDM
t25,SDM1,29071.209368337204,8.662357310250565,6,0.023218916663907237,TRUE,3501,SDM,-7.8029170828122005,SDM
t26,SDM1,23052.725586330424,54.786127218633524,6,0.0702182552634263,TRUE,3501,SDM,-5.973952188334806,SDM
t27,SDM1,18568.218727344625,67.3384995078238,6,0.07826701691128853,TRUE,3501,SDM,-8.148183128083474,SDM
t28,AUM3,29391.603186858327,13.926225296259588,7,0.04127056851110577,TRUE,3501,AUM,-33.91128114196181,AUM
t29,AUM3,6336.912632353331,321.23827504690877,7,0.213523866235137,TRUE,3501,AUM,-112.1151321036441,AUM
t30,AUM3,29809.009819700943,63.54421273510223,7,0.09375243516601361,TRUE,3501,AUM,-109.09390169139442,AUM
t31,SDM1,30055.172156984645,0.5131124126925061,6,0,TRUE,3501,SDM,-7.7397920388575585,SDM
t32,AUM3,27254.370839585205,10.372553406370379,7,0.03457943635732658,TRUE,3501,AUM,-9.941999655806285,AUM
t33,AUM3,30217.967012034063,2.350292116010081,7,0.007073007656228521,TRUE,3501,AUM,-118.82947872602381,AUM
t34,AUM3,27794.282332641014,2.0346446635666973,7,0.002224370470130512,TRUE,3501,AUM,-53.99832152293311,AUM
t35,AUM3,28942.735560292957,94.66960672900687,7,0.11504231349577296,TRUE,3501,AUM,-158.6375359238009,AUM
t36,AUM3,32372.358431385255,376.3168998037763,7,0.23121109175873764,TRUE,3501,AUM,-32.178712157023256,AUM
t37,AUM3,30089.90944969455,0.1611517870078503,7,0,TRUE,3501,AUM,-28.021982857633702,AUM
t38,SDM1,28044.00105995195,2.775467895210583,6,0,TRUE,3501,SDM,-8.160378972512262,SDM
t39,AUM3,26944.262144291217,4.931561699211746,7,0.020461547034787093,TRUE,3501,AUM,-24.985708620599326,AUM
t40,AUM3,29554.033343226787,83.7581916370893,7,0.10805741782298371,TRUE,3501,AUM,-485.4756467499901,AUM
t41,AUM1,21407.040990333233,117.13439901373273,5,0.08988170167048622,TRUE,3501,AUM,-131.1690710377443,AUM
t42,SDM1,28165.087594374956,19.177627677216336,6,0.03924648218160443,TRUE,3501,SDM,-3.320267110972054,SDM
t43,AUM3,27586.08910827187,8.642325425318786,7,0.030799879777432752,TRUE,3501,AUM,-49.036149596104224,AUM
t44,AUM1,27058.73732621217,108.01191057542924,5,0.08618178518815263,TRUE,3501,AUM,-92.74365950182982,AUM
t45,AUM1,-5840.136564035428,70.51016597281559,5,0.06891566714683264,TRUE,3501,AUM,-10.301927393243204,AUM
t46,AUM3,27572.921581843355,102.71575913693844,7,0.11993271412701295,TRUE,3501,AUM,-63.55160895775043,AUM
t47,SDM1,27374.473184786533,25.631088060304506,6,0.04641902717641763,TRUE,3501,SDM,-7.897005406040989,SDM
t48,AUM3,29565.832109862775,13.085070173151303,7,0.03978855527282384,TRUE,3501,AUM,-35.35055963497143,AUM
t49,SDM1,27477.580257750138,43.1670675643076,6,0.061841267264549346,TRUE,3501,SDM,-5.945468918467668,SDM
t50,AUM3,28601.669050702676,95.5441520459594,7,0.11558387973332301,TRUE,3501,AUM,-25.898278782184207,AUM
t51,AUM3,28553.99755194284,63.06096343852312,7,0.09338363456509767,TRUE,3501,AUM,-11.083154315263528,AUM
t52,SDM1,25988.272510812443,15.29811907187077,6,0.034218633641706374,TRUE,3501,SDM,-1.4350106391721056,Inconclusive
t53,SDM1,27914.37905791276,5.555345486421437,6,0.015597971773678901,TRUE,3501,SDM,-4.287997076633474,SDM
t54,SDM1,30419.318768511166,47.06954141069465,6,0.06477576980089506,TRUE,3501,SDM,-8.011974998553342,SDM
t55,SDM1,25142.918770894048,1.9501345934637715,6,0,TRUE,3501,SDM,-6.310735179918993,SDM
t56,SDM1,32381.052791385748,21.033301399445662,6,0.04143629706210889,TRUE,3501,SDM,-0.96100314765863,Inconclusive
