depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos,agemse
t0,10.989,226.507,0.0497268543669209,0.0462702529726816,0.188885968411576,by_20,fp_4,5,24,0.1021491128899,0.0052364899466989,0.0487634264591959,0.0259562060937486,0.755
t1,28.188,9.287,0.0177410770007697,0.752181454302869,0.708299044519967,by_20,fp_20,5,4,0.00871287909220364,0.0452205762439503,0.838451309342255,0.0037128887879595,3.257
t2,24.665,10.95,0.00724402722754843,0.69254527586691,0.69254527586691,by_24,fp_20,4,4,0.0167386053576739,0.0238056567670164,0.58715230021462,-0.00742125992429332,1.701
t3,51.537,132.589,0.143433293984664,0.279900720159022,0.368306458720929,by_16,fp_8,8,12,0.311577190089779,0.0224064866134682,0.06708856802417,0.126053229412569,0.064
t4,77.723,6.318,0.0304218377926997,0.924822408110327,0.860157814938191,by_16,fp_20,8,4,0.0108021699081007,0.0744822652055195,0.873339491623419,0.0121230444522586,16.338
t5,18.285,47.497,0.0160978496038414,0.277963576662309,0.315989573582569,by_20,fp_16,5,6,0.018870350702646,0.0107959495453045,0.363912906397903,-0.000344144746130315,0.632
t6,182.149,88.423,0.071446679068875,0.673199739810476,0.75549880891976,by_24,fp_16,4,6,0.0819838162586243,0.213140834648471,0.722206138976738,0.0326343075103718,10.715
t7,98.109,218.023,0.161892727892755,0.310341882504776,0.25233385258642,by_16,fp_16,8,6,0.217581536403177,0.029636023083523,0.119878309392976,0.131440255016862,4.751
t8,58.744,1.42,0.0133119627342197,0.976397845887906,0.885801600386023,by_8,fp_24,16,3,1e-08,0.0164552746112998,0.999999392292492,-0.00211186657466023,0.398
t9,30.862,70.133,0.0339535951690965,0.305579484132878,0.413172881094984,by_20,fp_12,5,8,0.0220298055260963,0.0169037104117509,0.434168607806592,0.0180027442396617,1.165
t10,44.074,14.17,0.0159769999786491,0.75671313783394,0.608639213411771,by_16,fp_20,8,4,0.0163976928670211,0.0375488684832272,0.696038218996778,-0.00893929983424413,11.15
t11,9.944,18.407,0.00997064418886899,0.350746005431907,0.288343321090276,by_24,fp_24,4,3,0.019800629980962,0.00471687828011114,0.192388159101804,0.00113497933672868,6.067
t12,130.733,86.707,0.112893771162143,0.601237122884474,0.818947768455605,by_24,fp_8,4,12,0.122873980775426,0.0773472739349201,0.386309006238204,0.0958472422089075,8.568
t13,100.712,100.167,0.194500677629125,0.501356538015422,0.523092944410467,by_12,fp_8,11,12,0.166073953873765,0.0586284797992971,0.260916087293475,0.157005337978116,12.964
t14,74.84,13.216,0.0199855562651086,0.849913691287363,0.918868480502897,by_24,fp_12,4,8,1e-08,0.04230000531773,0.999999763593466,0.00330512354470902,0.639
t15,46.519,9.932,0.0154336684765153,0.824059804077873,0.875399100494916,by_24,fp_16,4,6,0.00670674434861995,0.0427024509542993,0.86426121074221,0.00482691489327003,16.662
t16,26.352,57.293,0.0413246302016037,0.315045728973639,0.186975833345159,by_16,fp_20,8,4,0.100439831283222,0.0031370053770533,0.0302867463247836,0.0182389986105557,0.429
t17,101.431,23.866,0.0450512640499174,0.809524569622577,0.680001072652065,by_16,fp_20,8,4,0.0042197697469335,0.0598471169429082,0.934134933583364,0.0298557689757746,1.926
