depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos,agemse
t0,3.171,384.479,0.0789363175109079,0.00818005933187153,0.0241451603078235,by_16,fp_4,8,24,0.125061345592881,1e-08,7.99607516853854e-08,0.04101406027345,1.12
t1,31.133,6.396,0.0134530754831263,0.829571797809694,0.744933362046276,by_20,fp_24,5,3,0.00507763093079183,0.053427914982018,0.913211117825326,-0.00236717984260104,0.299
t2,28.797,6.997,0.00897499030601326,0.804520310666592,0.606818995975191,by_16,fp_24,8,3,0.0181862941271258,0.0372887789904814,0.672171786262078,-0.00720646409022985,4.601
t3,76.398,127.293,0.149562329426305,0.375068117884443,0.310407033910012,by_16,fp_16,8,6,0.145453651582646,0.0517245482099077,0.262323868786336,0.135364466677855,21.404
t4,58.677,39.875,0.030167048846208,0.595391265524799,0.688209835757933,by_16,fp_8,8,12,0.0831444147720751,0.187147754456378,0.692390589748086,0.00227565873686719,2.51
t5,33.828,23.247,0.014702456476048,0.5926938239159,0.521843761569789,by_16,fp_16,8,6,0.0149171953785803,0.0213258711958373,0.588412438888113,-0.00646887063054224,0.531
t6,131.057,134.042,0.0534188584272075,0.494370027800935,0.701185165237412,by_20,fp_8,5,12,0.518632404225099,0.464361838855998,0.472395278125437,0.0204561715696793,19.309
t7,34.961,187.448,0.149979451946327,0.157192379804774,0.358781655041716,by_24,fp_8,4,12,0.183930392851673,0.022653511426503,0.109657678828641,0.119629286485307,22.966
t8,39.905,5.365,0.010665644846572,0.881488844709521,0.730075239554509,by_12,fp_20,11,4,0.00875812302732015,0.0211591516168346,0.707255318825262,-0.00760169377236708,0.956
t9,44.506,37.218,0.0364159679305392,0.544589104791738,0.589319527018975,by_20,fp_16,5,6,0.0160524828668251,0.0217893394664155,0.575800480075599,0.019867514000167,2.209
t10,19.557,31.379,0.019219805691541,0.383952410868541,0.499299507580956,by_20,fp_12,5,8,0.0109521490366939,0.00355192369282253,0.244891470076139,-0.00646442426027427,37.012
t11,31.567,31.064,0.0126275192172256,0.504015583337325,0.549434036702038,by_20,fp_16,5,6,0.0677962952619542,0.0400686742090695,0.371470686039858,-0.000391730818958935,8.68
t12,211.94,64.315,0.128445569921229,0.767189734122459,0.622309657339167,by_8,fp_12,16,8,0.265964313262865,0.648786436603542,0.709249417612714,0.0959843454699086,25.519
t13,109.847,73.467,0.204581901717632,0.599228645929934,0.528611232754099,by_16,fp_16,8,6,0.0993147612437223,0.110705578758166,0.527118367474173,0.169210603908413,5.75
t14,83.099,4.956,0.0213225214682805,0.943716995059906,0.926337966936805,by_24,fp_24,4,3,0.00454843229818314,0.0677892726925743,0.937122247674787,0.00714040911309033,6.908
t15,47.107,1.971,0.0154452185940134,0.959839439259954,0.947159947722932,by_24,fp_24,4,3,1e-08,0.0460686303498222,0.9999997829326,0.0075424101955156,10.827
t16,14.862,49.336,0.0361371617056015,0.231502539019907,0.325229227301573,by_20,fp_12,5,8,0.0386317112549091,0.00888571518368331,0.186999083276669,0.0171629953653913,0.79
t17,103.42,35.246,0.0423968030181115,0.74582089336968,0.761960428452319,by_12,fp_8,11,12,0.081227744303385,0.185590856919408,0.695569409587152,0.0193969794907763,3.309
t18,12.668,60.266,0.0660115678089922,0.17369128252941,0.143953727535639,by_20,fp_20,5,4,0.0578980897675009,0.0073927702752169,0.113228256916512,0.0470732168639191,3.766
t19,72.386,73.675,0.0958737667644804,0.495587460033822,0.495587460033822,by_24,fp_20,4,4,0.0407619794337999,0.163510068296979,0.800452485366366,0.0847434304529995,11.831
t20,40.642,48.757,0.0460417085001335,0.454613586281726,0.500068698642638,by_20,fp_16,5,6,0.0254493646697143,0.035511986376353,0.582532797698616,0.0311985930790853,1.551
t21,180.577,42.298,0.081239830051624,0.810216489063376,0.516275027232259,by_8,fp_20,16,4,0.0247949286211167,0.0508765682739101,0.672334635384407,0.0568076834736303,0.046113
t22,146.08,56.687,0.0763467866544547,0.720432812045353,0.659019410876587,by_8,fp_8,16,12,0.157818225803035,0.0557292478486067,0.260968893219113,-0.00649327367916852,7.208
t23,31.872,24.586,0.0154417818996256,0.564525842218995,0.437509723353436,by_20,fp_24,5,3,0.0545860867152557,0.0260193576076226,0.322799009746759,-0.00156250755857368,0.176793
