depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos,agemse
t0,27.207,90.219,0.025536919516172,0.231694854631853,0.153216723357286,by_20,fp_24,5,3,0.142818082318534,0.0690878164186089,0.326030642989832,0.0110515470908455,1.888
t1,9.512,16.353,0.0157363062373083,0.367755654359173,0.303742495848767,by_24,fp_24,4,3,0.0194705216299869,0.00383897703489555,0.164695821651423,0.00487427328580781,1.143
t2,22.077,4.791,0.00898583460087656,0.821683787405092,0.775584050588442,by_24,fp_24,4,3,0.00664749554027644,0.00321220830793911,0.325791561023455,-0.00783192876943417,10.36
t3,22.865,167.155,0.135490370532236,0.12032943900642,0.290965005302227,by_16,fp_4,8,24,0.312258276150241,0.00608139308414013,0.0191034723971603,0.10798432084349,0.507
t4,68.922,10.399,0.0301477769942651,0.868899786941667,0.713089481924968,by_16,fp_24,8,3,0.0079369608647043,0.0500849851392421,0.86320760658106,0.00693527012288297,10.365
t5,21.437,25.02,0.00942747100608068,0.461437458294767,0.562399979011989,by_24,fp_16,4,6,0.0100025537891344,0.00420339824824634,0.295889936639639,-0.0114251730212671,2.695
t6,130.49,120.299,0.057460860227853,0.52031787678088,0.394243503043914,by_20,fp_24,5,3,0.26785890420379,0.189091790452727,0.413812239841028,0.0221869257344476,13.099
t7,37.815,175.693,0.143771587601258,0.177112801393859,0.340613025381968,by_20,fp_8,5,12,0.253150487340307,0.00601129754322449,0.0231951541232285,0.107405179391923,6.066
t8,65.541,3.129,0.0168291733364017,0.954434250764526,0.88394816965234,by_12,fp_20,11,4,0.00574904426827905,0.0263584537007153,0.820943871932008,0.000487027186621525,11.115
t9,49.381,48.662,0.0320626114455649,0.503666758463123,0.525397790848816,by_12,fp_8,11,12,0.211252085285905,0.187768042099943,0.470572858893339,0.00393376633034292,0.279507
t10,52.273,32.887,0.0211581039367609,0.613821042743072,0.442815149897922,by_16,fp_20,8,4,0.0343890871129017,0.0530117190557787,0.606535813336413,0.00310723215177788,10.074
t11,5.829,16.356,0.00829611487981473,0.262745098039216,0.348353552859619,by_24,fp_16,4,6,0.00554709186482349,0.00550326214451635,0.498016818272514,-0.000775406331471995,1.453
t12,112.154,96.393,0.118008488236933,0.537787644991297,0.777308798558409,by_24,fp_8,4,12,0.141661491801478,0.0730266748375079,0.340152305461287,0.101494816963656,3.023
t13,138.409,94.294,0.207712812041799,0.594788206426217,0.540076831078932,by_20,fp_20,5,4,0.122645863590306,0.0960477219660637,0.439188564775288,0.186482007702924,6.17
t14,62.236,10.97,0.0271476582097275,0.850148894899325,0.850148894899325,by_24,fp_20,4,4,0.00489338102699188,0.0266603757781547,0.844919226030362,0.0161159814169742,5.38
t15,33.447,10.439,0.0146437005050389,0.762133710066992,0.706144394322188,by_24,fp_24,4,3,0.00660408836984316,0.0437452021027721,0.86883452958617,0.00145912612659493,1.68
t16,2.438,39.797,0.0273387606794308,0.0577246359654315,0.0467190771161797,by_20,fp_20,5,4,0.078869247621584,0.00225666414686165,0.0278168109013401,0.00768570561879911,4.522
t17,132.143,1.331,0.0397383494195284,0.990028020438438,0.964383195076264,by_12,fp_24,11,3,0.00166929778588654,0.0899316552732696,0.981776414653584,0.0190730882094654,2.032
t18,13.592,232.64,0.0770508986029614,0.0551999740082524,0.259561032744309,by_24,fp_4,4,24,0.251933349955339,0.0362636941502514,0.12582951453508,0.0343096481341725,3.558
t19,37.942,130.196,0.100606075361836,0.225659874626795,0.636169546846706,by_24,fp_4,4,24,0.0587639112467758,0.0629313449684661,0.517122416482362,0.0672131898942251,33.617
t20,54.144,36.502,0.0444283709183508,0.597312622730181,0.640285075703524,by_20,fp_16,5,6,0.042156211978953,0.0986369281447333,0.700580497445267,0.0297542967720154,2.401
t21,27.328,35.914,0.0463176184234416,0.432117896334714,0.378396715613988,by_20,fp_20,5,4,0.02137218021931,0.0284064232390108,0.570655286920519,0.0376230849275179,0.272
t22,3.436,42.327,0.0438980488436057,0.0750824902213579,0.0573890967397114,by_24,fp_24,4,3,0.0418904032714535,0.00487333969973214,0.104211925523903,0.0289540178306482,1.09
t23,47.612,5.617,0.0238445971324252,0.894474816359503,0.864080723999419,by_24,fp_24,4,3,0.00161910907536045,0.0368686275527016,0.957931818880201,0.0114828756246091,4.829
t24,28.233,89.868,0.028566565974248,0.239058094342978,0.38587067940465,by_24,fp_12,4,8,0.0451538795608898,0.0125399823252282,0.217353838264128,0.00677445675119659,9.228
t25,33.627,22.556,0.01379036274781,0.59852624459356,0.472154487716523,by_20,fp_24,5,3,0.060636056207687,0.044915676077964,0.425532344238655,0.00236614696834969,4.276
t26,17.548,22.228,0.0316942463690278,0.441170555108608,0.486480492357736,by_20,fp_16,5,6,0.0366075270678462,0.00223947404957336,0.0576485696490263,0.017057641701549,0.194
t27,56.207,45.527,0.0644576318474158,0.55248982641005,0.496898088904507,by_20,fp_20,5,4,0.0482677990815475,0.0253630710482358,0.344462465315571,0.0538976728643135,21.129
t28,48.094,36.798,0.0560345896650122,0.566531593082976,0.511140751289968,by_20,fp_20,5,4,0.0201982150626955,0.045490054053011,0.692514122618799,0.0447788913324634,5.491
t29,26.752,8.924,0.0227382877139989,0.749859849758941,0.749859849758941,by_24,fp_20,4,4,0.00271720371677797,0.0197367902305694,0.87898795541009,0.00883499514003327,14.131
t30,6.394,7.879,0.00540986637296192,0.447978701043929,0.447978701043929,by_24,fp_20,4,4,0.00144468554773369,0.000927496440499276,0.390988737415617,-0.015910213890304,0.727
t31,70.061,23.112,0.0174330468658022,0.751945306043596,0.694519067775608,by_24,fp_24,4,3,0.0187450030526365,0.0423371763020101,0.693118299794086,0.00434840157586669,3.48
t32,63.105,10.196,0.0174288871604757,0.860902306926236,0.787844108283568,by_20,fp_24,5,3,0.00531407807828088,0.0453356520440119,0.895081808620695,0.00424678552047408,0.0590222
t33,127.298,1.946,0.0569644854768477,0.984943208195351,0.981249590497223,by_20,fp_20,5,4,0.00175901466640083,0.0705176906093521,0.975662771847585,0.0152425328203682,3.161
t34,189.965,119.542,0.160706877665249,0.613766409160374,0.776143226170652,by_12,fp_4,11,24,0.239897509497987,0.767024139094491,0.761751562464342,0.10392511090078,5.071
t35,41.615,210.099,0.232104045894757,0.165326521369491,0.240650853142405,by_20,fp_12,5,8,0.207287051180352,0.0493497744377325,0.192294205318658,0.208436704410173,34.864
t36,35.153,33.97,0.0325509318075325,0.508557209611851,0.436974546177783,by_16,fp_16,8,6,0.0221414935635775,0.0157361174773081,0.415446408706249,0.0165888659091826,0.059
t37,38.089,7.665,0.0116333197902615,0.83247366350483,0.575414690153186,by_12,fp_24,11,3,0.0230000067159866,0.0319262322171285,0.581256478456605,-0.00237653750881917,0.814
t38,137.133,4.098,0.113735738866914,0.970983707542961,0.948059400190811,by_12,fp_16,11,6,0.00257294708878364,0.153556835331058,0.983520459396627,0.0649173755193302,9.682
t39,38.657,27.33,0.0343383833540767,0.585827511479534,0.693545276358694,by_20,fp_12,5,8,0.0209794305979892,0.0423192219360532,0.668564341291367,0.0172879790906514,31.463
t40,67.147,39.897,0.0840990305413136,0.627284107469825,0.557963487697664,by_8,fp_8,16,12,0.106406516223014,0.013155330869423,0.110029505141822,0.0536515226219972,0.66
t41,26.789,25.923,0.0161278333679244,0.508214448322962,0.452572316711084,by_20,fp_20,5,4,0.00570152073827435,0.0134301862478577,0.701985779815299,0.00201666531775835,59.503
