depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos,agemse
t0,10.844,246.613,0.0531710256752203,0.0421196549326684,0.208754576051489,by_24,fp_4,4,24,0.13513252555783,0.02803936657555,0.171839440046636,0.0287454678178425,0.451
t1,29.257,34.759,0.0202091971204687,0.457026368407898,0.573876244020488,by_20,fp_12,5,8,0.053730381408564,0.114972338357358,0.681508505120036,0.00173753142227018,0.829
t2,50.892,14.54,0.0147516875203309,0.777784570240861,0.56757721304406,by_16,fp_24,8,3,0.0321474389023373,0.0320900069121173,0.499552971094259,-0.00765158414445755,6.564
t3,57.034,144.535,0.121177840785507,0.282950255247583,0.239938326334045,by_20,fp_20,5,4,0.157297762820934,0.0332824861672474,0.174637646576437,0.112123375238837,5.069
t4,79.724,37.142,0.0288167168622387,0.682183013023463,0.445960157223088,by_16,fp_24,8,3,0.0540027498862745,0.110982145892102,0.672680643694704,0.00925314006023115,18.763
t5,62.704,20.757,0.0167985283915605,0.751297012976121,0.622319705037292,by_12,fp_16,11,6,0.0240898728626178,0.0436549227793364,0.644402604888825,-0.00378513886784848,6.599
t6,92.053,64.021,0.0458193196349389,0.589803554724041,0.633085097481382,by_20,fp_16,5,6,0.207731577402629,0.142569932589523,0.40699205833488,0.0272927557464769,17.978
t7,58.1,98.252,0.137450504752148,0.371597421203438,0.639510992397781,by_24,fp_8,4,12,0.0587201414640459,0.101762796507304,0.634103523986277,0.10571842147296,5.773
t8,101.881,22.935,0.0267678778187847,0.816249519292398,0.763630469591027,by_12,fp_12,11,8,0.0823411060985351,0.101880785836228,0.553033001486632,0.00249611747787637,0.521
t9,71.902,24.494,0.0319603992609874,0.745902319598324,0.594772106874018,by_16,fp_20,8,4,0.0441907436500786,0.0382161378195984,0.463749351243933,0.0135379213643452,0.15
t10,40.444,23.108,0.0189995950951463,0.63639224572004,0.567597911715724,by_16,fp_16,8,6,0.0217105191189195,0.0247029346811134,0.532236510291675,-0.00274773630971037,16.038
t11,13.79,4.705,0.00850340803621637,0.745606920789403,0.745606920789403,by_24,fp_20,4,4,0.00118337568633486,0.0050782100102158,0.811010222700177,-0.000970964988553202,14.503
t12,85.178,85.976,0.106295352429604,0.497668766140435,0.74824748909256,by_24,fp_8,4,12,0.0818301533454401,0.0406290103162,0.331775990471891,0.0865779086067462,10.842
t13,131.468,78.657,0.192639685074618,0.625665675193337,0.667297750684591,by_20,fp_16,5,6,0.103852441607301,0.101282553366483,0.493736104751053,0.169027649461971,2.441
t14,106.105,16.053,0.0240381566772159,0.868588221811097,0.908378778669087,by_24,fp_16,4,6,0.00831910505938038,0.0744048737792071,0.899435385287587,0.00914080307815834,4.085
t15,30.448,9.198,0.0110873350409387,0.76799677142713,0.83236741388737,by_24,fp_16,4,6,0.000541849246681325,0.0243077230106403,0.978194826008658,-0.000807295400507169,8.338
t16,11.144,35.326,0.0231866201920464,0.23981063051431,0.191328632909074,by_24,fp_24,4,3,0.0524571322972188,0.00245242392111777,0.0446629710749476,0.0124401262045598,1.354
t17,25.151,17.025,0.0185791292878236,0.596334408194234,0.525610750036572,by_24,fp_24,4,3,0.00714759309388158,0.0139353235072524,0.660977025659858,0.00650670240892737,0.0010973
t18,10.775,167.208,0.0577139307771269,0.0605394897265469,0.11416734654955,by_24,fp_12,4,8,0.15086775516013,0.0190155475141963,0.111932998798887,0.0277611626770237,0.501
t19,91.655,90.412,0.110841121645004,0.503413578517798,0.503413578517798,by_24,fp_20,4,4,0.0483815030200867,0.146558740875937,0.751813673497341,0.098800499420081,26.188
t20,61.137,61.524,0.0459116543948465,0.498422481473329,0.54388961541541,by_20,fp_16,5,6,0.0243262183858489,0.0507948593831079,0.676173197878405,0.0298605076585902,0.742
t21,21.822,24.691,0.0359667940493508,0.469159159804786,0.346525796496948,by_20,fp_24,5,3,0.0160674559107715,0.0169416643463293,0.513241922667868,0.0250621831355827,0.362
t22,52.559,41.052,0.0640979128362242,0.561461794019934,0.324376199616123,by_16,fp_24,8,3,0.0488038990062795,0.0201990274513322,0.292727113012234,0.0478599577952984,6.397
t23,38.803,9.209,0.0194133992490359,0.808193784887111,0.808193784887111,by_24,fp_20,4,4,0.00259311081431446,0.0390309490543448,0.937701636445441,0.00813524173600721,0.167
t24,32.322,29.712,0.0194201396055382,0.521036850759261,0.449303566960438,by_24,fp_24,4,3,0.0269248183295404,0.0128193072317188,0.322545962470853,0.00883326985894983,19.28
t25,35.172,33.459,0.0156351698380377,0.512479783188355,0.282742210360462,by_16,fp_24,8,3,0.0462478741108102,0.0286145639445247,0.382228587364121,0.0010836463239744,0.641
t26,7.83,44.224,0.021161396198046,0.150420716947785,0.220749929517902,by_20,fp_12,5,8,0.0420442207911669,1e-08,2.37844760430268e-07,0.00210864227081475,2.248
t27,29.615,39.727,0.053755603601943,0.427086037322258,0.472171660134193,by_20,fp_16,5,6,0.0311589751834419,0.0226778382456245,0.421232922255031,0.0404404570168354,5.49
t28,28.944,51.474,0.0477928772773048,0.359919421025144,0.252270469085014,by_20,fp_24,5,3,0.0285232279650942,0.031776815263497,0.52697831646711,0.0373635076287929,3.107
t29,3.334,12.921,0.0106025898953166,0.205106121193479,0.162143760334598,by_24,fp_24,4,3,0.00945756154484112,1e-08,1.05735388335019e-06,-0.00193928416776812,8.062
t30,6.948,1.132,0.00335867181862775,0.85990099009901,0.85990099009901,by_24,fp_20,4,4,1e-08,0.00301709445364118,0.999996685563873,-0.00921392299449653,0.189
t31,62.83,8.655,0.0135301421443981,0.878925648737497,0.844829904531397,by_24,fp_24,4,3,0.00562835849619014,0.0353214990625511,0.862554869986631,0.00230782158178233,7.336
t32,49.194,19.616,0.0197075933612495,0.714925156227293,0.750587421549979,by_20,fp_16,5,6,0.00616739764872054,0.0266987407545435,0.812347968202189,0.0019330329075663,2.862
t33,33.511,79.167,0.0462181544464435,0.29740499476384,0.458461306938279,by_24,fp_12,4,8,0.115254564467436,0.0134820372532433,0.104725750664876,0.0116692800682588,0.369
t34,194.474,86.018,0.1309828220319,0.693331717125622,0.62182182982346,by_12,fp_12,11,8,0.090122937464413,0.380916083615524,0.808672034733363,0.0893038940373105,3.389
t35,95.702,274.198,0.265368974115944,0.258723979453906,0.20746182160824,by_8,fp_8,16,12,0.532747890278684,0.049469252000228,0.0849670138646135,0.232961766100223,8.544
t36,2.5,7.981,0.0157980549717658,0.238526858124225,0.238526858124225,by_24,fp_20,4,4,0.0119805369804732,0.000505124486716801,0.0404563657315373,0.00709692935565143,2.641
t37,24.591,6.007,0.00956620525514175,0.8036799790836,0.598171988737602,by_12,fp_20,11,4,0.00124836155080876,0.00383746916637895,0.754541269612083,-0.00484632521226236,2.61
t38,136.711,7.086,0.108215286437035,0.950722198655048,0.875244482146001,by_12,fp_20,11,4,0.00615828897108883,0.250943267274447,0.976047251284595,0.0772589750508287,1.225
t39,29.264,14.516,0.03958922416238,0.668433074463225,0.668433074463225,by_24,fp_20,4,4,0.0102449238997359,0.0240699532882793,0.701443667025158,0.023301139512329,49.956
t40,43.114,137.144,0.0820596242956054,0.239179398417823,0.430033380766827,by_20,fp_8,5,12,0.415400276439269,0.0986174430917615,0.191856115741956,0.0663199377554289,2.042
t41,20.965,59.502,0.0184033210917266,0.260541588477264,0.458176255258701,by_20,fp_8,5,12,0.0296352676244038,0.00576495956297585,0.162850919923787,-0.000294144214667114,33.816
t42,27.997,14.488,0.0101994708163781,0.658985524302695,0.591723438281564,by_16,fp_16,8,6,0.0118838239545271,0.0011081356301752,0.0852939560772647,-0.013924501770457,10.596
t43,163.279,72.381,0.100236697943562,0.692858355257574,0.628511049436654,by_8,fp_8,16,12,0.206868256783123,0.0482930901363048,0.189264913041685,0.0454653436312982,1.011
t44,5.585,28.172,0.00940618401676844,0.165447166513612,0.229209701911107,by_24,fp_16,4,6,0.0135535990460118,0.00754568525393751,0.357627545402363,-0.00172141504286794,5.25
t45,35.725,22.319,0.0129556962127985,0.615481358969058,0.466121137131164,by_12,fp_16,11,6,0.0211003464809218,0.00645839772172141,0.234350218363795,-0.00587781771913165,2.629
t46,12.746,107.652,0.127585205407888,0.105865545939301,0.105865545939301,by_24,fp_20,4,4,0.164617342052044,0.00508744993774712,0.029978233838283,0.117817468052288,0.361
t47,16.017,30.243,0.0220130991657037,0.346238651102464,0.284286753873733,by_24,fp_24,4,3,0.030347491792412,0.00226180743551863,0.0693608108444518,0.00688214362574824,0.100575
t48,116.304,13.186,0.069352354638941,0.898169742837285,0.687993942548862,by_8,fp_20,16,4,0.0190053724973188,0.131757252921317,0.87393843504287,0.04572398451203,24.426
t49,28.934,76.342,0.0167235844497042,0.274839469584711,0.532057568773599,by_24,fp_8,4,12,0.0635164112429956,0.0355441160626062,0.358812102351854,-0.00174655069787732,1.087
