depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos,agemse
t0,13.479,180.329,0.0451568326414847,0.0695482126640799,0.152105571505549,by_20,fp_8,5,12,0.0671203534645152,0.00231389645969704,0.0333250011661776,0.0156083107989106,0.113
t1,19.498,3.531,0.0145438940346881,0.846671587997742,0.768151912697475,by_20,fp_24,5,3,1e-08,0.0365599790345026,0.999999726476942,0.000390195231351864,0.285
t2,18.535,9.561,0.00745439097705986,0.659702448747153,0.744108555140712,by_24,fp_16,4,6,4.58116337567205e-05,0.00546458100205638,0.991686321323279,-0.00842638432746412,0.905
t3,45.82,104.149,0.126589281983764,0.305529809493962,0.248097665217956,by_16,fp_16,8,6,0.102047056418531,0.0618220219243331,0.377264719796512,0.112491178165093,11.808
t4,64.26,44.855,0.0374697176927511,0.588919946845072,0.588919946845072,by_16,fp_12,8,8,0.0710488149997212,0.179540836526514,0.716473467411791,0.0155426553758161,6.12
t5,45.559,3.356,0.0109723766476036,0.931391188796893,0.871592278701383,by_16,fp_20,8,4,1e-08,0.0116714308016357,0.999999143207752,-0.00592313476424167,4.233
t6,98.027,47.046,0.0494911411237281,0.675708091788272,0.609791297315791,by_24,fp_24,4,3,0.0157801349556732,0.0487344200240553,0.755401940529055,0.0283178218228265,3.12
t7,52.765,162.341,0.143442178873201,0.245297667196638,0.280591511971603,by_20,fp_16,5,6,0.221808891775039,0.0195288780659292,0.0809192779016643,0.117743491485047,16.851
t8,10.599,33.93,0.0125607880750691,0.238024658087988,0.384523291249456,by_24,fp_12,4,8,0.0320966135283642,0.0187825227927352,0.369159623194038,-0.00108754902701236,9.943
t9,61.134,51.607,0.0302660846009882,0.542251709670838,0.73979042861191,by_20,fp_8,5,12,0.0434231466944985,0.0350020418399406,0.446311223396932,0.0149495407824427,1.334
t10,42.444,16.592,0.0174143152589738,0.718951148451792,0.561220711905643,by_16,fp_20,8,4,0.00790930372593501,0.0284895417271502,0.782704543853475,-0.00503018402531263,9.369
t11,18.822,30.741,0.0145872036391323,0.379759094485806,0.423542119060745,by_20,fp_16,5,6,0.00509166128921157,0.0168155589244863,0.767580677076139,0.00504450643739096,10.411
t12,132.782,77.936,0.112796663728319,0.630140756840896,0.836365850483537,by_24,fp_8,4,12,0.103970079766704,0.0699175221273527,0.402084572826248,0.0926926658745231,1.423
t13,102.833,159.322,0.214595730603449,0.392260304018615,0.607698391514651,by_20,fp_8,5,12,0.363211495578924,0.0439291530339073,0.107896750628016,0.184915811956885,13.623
t14,93.875,2.733,0.0232860910136157,0.971710417356741,0.962632922815041,by_24,fp_24,4,3,0.00471051526791355,0.0668146042120255,0.934141804974758,0.00795838588415165,2.021
t15,39.441,15.768,0.0118518143907445,0.71439439221866,0.652294715951377,by_24,fp_24,4,3,0.00843487578635949,0.0510644529067159,0.85823578229142,-0.000156686207670065,1.737
t16,25.344,9.815,0.0231910467818099,0.720839614323502,0.491950929137119,by_16,fp_24,8,3,0.0257520646942956,0.00843346651074106,0.246696956679103,0.0108134212621317,1.812
t17,114.965,43.142,0.036853530655778,0.727134155982974,0.659637003131361,by_12,fp_12,11,8,0.263856724006921,0.456314474176934,0.633619443998425,0.0145300162379954,11.214
t18,26.117,136.906,0.0789243371717596,0.160204388337842,0.314052833153295,by_20,fp_8,5,12,0.0540762732981465,0.0262747915292101,0.326999916997547,0.0508967198200153,3.771
t19,62.721,67.058,0.110095544206839,0.483290825172023,0.483290825172023,by_24,fp_20,4,4,0.036341093093731,0.111383655325495,0.753994550793892,0.0973228858040757,52.701
t20,67.62,77.982,0.0564799862216333,0.464416697572836,0.38674199041724,by_12,fp_12,11,8,0.104565267339255,0.0576637660721838,0.35544664761664,0.0317208546159032,4
t21,39.219,14.727,0.0358226506743729,0.727004782560338,0.61506492691801,by_20,fp_24,5,3,0.0142271284099977,0.0164264861780838,0.535874362577476,0.0206266729378806,0.116
t22,94.236,26.462,0.0669389667584965,0.780758587549089,0.492702905244079,by_12,fp_24,11,3,0.0123045569456876,0.115798077623264,0.903947666751033,0.0327582467687209,5.214
