depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos,agemse
t0,8.999,324.425,0.0662037833312911,0.0269896588128029,0.117499528045521,by_20,fp_4,5,24,0.108371095106697,1e-08,9.2275519292292e-08,0.042342075530494,0.02
t1,10.333,34.828,0.0150478351080676,0.228803613737517,0.307972778302121,by_24,fp_16,4,6,0.0347621404054592,0.00253958888648365,0.0680823365213847,0.000638745127833795,2.64
t2,13.13,3.175,0.007879050998286,0.805274455688439,0.756191207525437,by_24,fp_24,4,3,1e-08,1e-08,0.5,-0.00247367338131976,9.079
t3,64.192,169.766,0.162357480814992,0.274374032946084,0.312121246501165,by_12,fp_8,10,12,0.364858967263378,0.0267130067068138,0.0682199148114907,0.133476265688893,6.201
t4,64.256,15.901,0.0254830563151483,0.801626807390496,0.547981965898948,by_12,fp_24,10,3,0.0154090427298967,0.0577193322266891,0.789287773192764,0.00626774267421237,2.276
t5,42.308,18.213,0.0136292764041121,0.699063135110127,0.665675422655433,by_16,fp_16,7,6,0.0224293093226284,0.027553551841961,0.551259995925992,-0.0110842835556499,2.672
t6,76.52,53.882,0.0475631817983931,0.586800815938406,0.515763174922712,by_24,fp_24,4,3,0.0251549368009002,0.0413612370770572,0.621822252629052,0.0299651999807461,13.726
t7,45.687,116.751,0.141465915961849,0.28125808000591,0.439034234234234,by_24,fp_12,4,8,0.0859016554982238,0.0854525135074968,0.498689433722759,0.112790594837625,8.873
t8,54.255,12.337,0.0197623115115266,0.814737506006728,0.637562795616793,by_12,fp_20,10,4,0.00335827766875552,0.00745920822089863,0.689551000758191,-0.006614270379802,10.176
t9,64.375,22.938,0.0355348399975692,0.737289979728105,0.691850936349714,by_20,fp_20,5,4,0.0363717187976487,0.0416374594686348,0.533750776434355,0.0234508976045167,2.297
t10,52.948,67.454,0.0226157388612834,0.439760136874803,0.65324485989764,by_20,fp_8,5,12,0.151042927566301,0.215186070929035,0.587572452790834,0.00504054159317346,0.584
t11,26.427,40.665,0.020864501774257,0.393891969236273,0.438153346210281,by_12,fp_8,10,12,0.0174321530073733,0.0352323282876592,0.668996018213559,-0.000210349589070624,5.898
t12,191.618,54.58,0.123352015946469,0.778308515909959,0.651860570732645,by_8,fp_12,15,8,0.106769952646128,0.398277651777128,0.788594279606465,0.0883174691181577,1.549
t13,71.248,78.014,0.190803407617405,0.477335155632378,0.422171593127742,by_20,fp_20,5,4,0.138483619752409,0.0804719920458704,0.36752651089851,0.173841663204729,11.585
t14,54.317,16.416,0.0164667066743925,0.767915965673731,0.832304132636644,by_24,fp_16,4,6,0.0116021433356193,0.0478215795541994,0.804755697364644,-0.000118484349077796,2.521
