depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos,agemse
t0,8.658,199.222,0.0456653511374006,0.0416490282855494,0.172598766344769,by_20,fp_4,5,24,0.0694971329648467,1e-08,1.43890807209992e-07,0.0121027573022322,1.64
t1,43.389,19.16,0.0169381317578889,0.693680154758669,0.576044289652914,by_20,fp_24,5,3,0.034732114024398,0.0905432845630086,0.722753913250056,0.00528179002476692,0.563
t2,45.551,24.323,0.0132093434712007,0.651901995019607,0.584124473701084,by_16,fp_16,8,6,0.0752900171214763,0.094320950459112,0.556101717975854,-0.0102653041872274,6.612
t3,38.372,111.75,0.147036192606321,0.255605440908061,0.215500998261817,by_20,fp_20,5,4,0.0923702771640285,0.0937031821778055,0.503581663442201,0.134528452854068,8.284
t4,68.444,11.2,0.0254173774947481,0.859374215257898,0.753423451191053,by_16,fp_20,8,4,0.0217703956741004,0.0780844599057759,0.78197959881194,0.00652618359755164,8
t5,63.606,3.578,0.017293628962019,0.946743272207669,0.898872276080382,by_16,fp_20,8,4,0.00690222242466443,0.0182063364157663,0.725104795200344,0.000863922669643857,0.424
t6,73.518,47.717,0.0418704973319363,0.606409040293645,0.754987086206631,by_24,fp_12,4,8,0.0160247049062583,0.0391327804744002,0.709473613677872,0.0130614407749459,7.814
t7,115.294,158.263,0.154557132476327,0.421462437444481,0.353325147558467,by_16,fp_16,8,6,0.133996169457779,0.0678009798773083,0.335985815957804,0.130546114817413,17.409
t8,43.729,10.095,0.0130411954414609,0.812444262782402,0.541575844644803,by_12,fp_24,11,3,0.00501708540095547,0.00504280139269619,0.501278145185339,-0.00702514759946737,8.88
t9,48.926,44.675,0.0302755984930622,0.522708090725526,0.567882367279192,by_20,fp_16,5,6,0.031342936304789,0.0549560631359913,0.636809968737853,0.0222715995248994,7.329
t10,52.014,39.457,0.0209234405675753,0.568639240852292,0.513286344090531,by_20,fp_20,5,4,0.0611411547332942,0.0996143587648822,0.619663715397309,0.00187203140437531,1.558
t11,25.505,42.813,0.0175166810403929,0.373327673526743,0.308818365641914,by_16,fp_16,8,6,0.0498006402472707,0.0186356025301738,0.272306043900993,0.00045687140564421,0.032
t12,97.627,55.137,0.106680335612702,0.63907072346888,0.726472448561967,by_24,fp_16,4,6,0.0559214468512178,0.0576859561738094,0.507765820164919,0.0912798791884943,1.809
t13,49.827,109.478,0.184521003512838,0.312777376730172,0.353236005822636,by_20,fp_16,5,6,0.196553066807067,0.0270813663591962,0.121096585958488,0.163344363829332,6.407
t14,92.805,33.82,0.0236110060551487,0.732912142152024,0.804539740792649,by_24,fp_16,4,6,0.0402648277170852,0.0909488223944737,0.693135373622701,0.00747463603174103,4.377
t15,35.945,7.133,0.0106995253005313,0.83441663958401,0.790770494327807,by_24,fp_24,4,3,0.00803665612710636,0.0437900892863889,0.844932263004621,0.000677959088441149,11.768
t16,15.527,38.517,0.0241050558484363,0.287302938346532,0.243854365844369,by_20,fp_20,5,4,0.09161012858754,0.0115902531102255,0.112308238783156,0.0091838869389621,0.193
t17,40.783,35.291,0.0278087989984808,0.536096432421064,0.464299674019878,by_16,fp_16,8,6,0.00937657804658409,0.0268614321232635,0.741250195509189,0.00853277303989863,2.315
t18,6.32,173.532,0.0707361231025413,0.0351400040032916,0.0803815580286169,by_20,fp_8,5,12,0.1724397739675,0.00395308719619347,0.0224106983134935,0.0425533737890857,0.249
t19,61.771,171.761,0.113554202726759,0.264507647774181,0.633194507858638,by_20,fp_4,5,24,0.449081643414994,0.107623880795424,0.193322818105798,0.0845921624247065,33.475
t20,51.513,23.994,0.0432588277204123,0.682228137788549,0.720380936398725,by_20,fp_16,5,6,0.00907364230989527,0.0403816470325631,0.816528374810147,0.0270316545190439,3.491
t21,11.327,51.927,0.0289839274269534,0.179071679261391,0.140598041284461,by_24,fp_24,4,3,0.0717550857581092,0.00944189774490345,0.116283848704221,0.0205650864510872,4.777
t22,39.898,25.67,0.0478027207423462,0.608498047828209,0.45881040635697,by_12,fp_16,11,6,0.0151876013522125,0.0889312210462584,0.854132029134095,0.0205452630450308,0.669
t23,23.125,7.526,0.0166654840554822,0.754461518384392,0.821715801816954,by_24,fp_16,4,6,0.0011381699226829,0.0305226075811387,0.964051106371424,0.000447084189083347,8.01
t24,20.471,31.346,0.0181806235452283,0.39506339618272,0.39506339618272,by_24,fp_20,4,4,0.0182399934246293,0.00608839087196644,0.250258742945719,0.00202473364313427,18.247
t25,45.253,15.548,0.0213492892784134,0.744280521701946,0.52186297536355,by_16,fp_24,8,3,0.0145187369461828,0.0251186344570826,0.633710903821773,0.00384796348954475,38.245
t26,30.058,8.749,0.0381560923716213,0.774550983070065,0.872954330937341,by_24,fp_12,4,8,0.0105901906452133,0.0284020631884648,0.72840270556337,0.0223091156858691,2.492
t27,36.775,47.083,0.058282691902701,0.438538958715925,0.438538958715925,by_24,fp_20,4,4,0.0319531248708059,0.049110216446237,0.60582521825944,0.0488198939428514,0.396
t28,98.981,45.224,0.0541323468069964,0.686390901841129,0.443171388019539,by_12,fp_20,11,4,0.0526105790626213,0.0243314249493417,0.316230715092352,0.0304157149148586,0.837
t29,66.716,5.739,0.0346588855417886,0.920792215858119,0.897106282271945,by_24,fp_24,4,3,1e-08,0.047206461764511,0.999999788164639,0.0215375954521374,44.582
t30,5.862,12.912,0.00617658710514438,0.312240332374561,0.40511402902557,by_24,fp_16,4,6,0.000851357946821896,1e-08,1.17458027840129e-05,-0.0118747836007544,1.705
t31,52.736,2.612,0.0106976424407937,0.952807689528077,0.938051418271511,by_24,fp_24,4,3,0.00144570004274391,0.018793840849584,0.928570512027181,-0.00649574513024942,9.903
