depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos,agemse
t0,26.662,257.75,0.0593998077140692,0.0937442864576741,0.331782325143443,by_20,fp_4,5,24,0.0794260651244334,0.0262939983704675,0.248713418259872,0.021324315764228,2.677
t1,39.476,7.192,0.0180739450140225,0.845890117425216,0.814509140428341,by_20,fp_20,5,4,0.0158864045504976,0.0745981680629755,0.824429689043675,-0.00180813825019421,0.957759
t2,19.038,31.771,0.0125381198775347,0.374697396130607,0.545134365112317,by_24,fp_12,4,8,0.00927580566975417,0.00673478450478937,0.420645612145986,-0.00188373163707256,4.568
t3,76.433,130.874,0.130275320540024,0.368694737756082,0.318436999402147,by_20,fp_20,5,4,0.109666170471503,0.0592725818379398,0.350852489601505,0.121204426554083,21.16
t4,75.875,25.758,0.0273414213289632,0.746558696486378,0.688402181112149,by_16,fp_16,8,6,0.102455333271962,0.203305025056064,0.664916231024148,-0.00117280214206561,4.164
t5,87.56,17.343,0.0200409773124991,0.834675843398187,0.579288261407467,by_12,fp_24,11,3,0.0143300223444888,0.0361111492447129,0.715906235065395,0.00138969024386426,9.374
t6,138.087,75.734,0.0593777762532183,0.645806539114493,0.577611172383599,by_24,fp_24,4,3,0.0338799401533617,0.0857806668578983,0.716866385692214,0.0416778376856185,17.526
t7,70.516,181.942,0.15276483227379,0.279317747902621,0.36763336067511,by_16,fp_8,8,12,0.334707931791187,0.027152721386033,0.0750364018514471,0.117858376793581,4.621
t8,80.692,9.096,0.0206123135192117,0.898694703078362,0.828732232355599,by_12,fp_16,11,6,0.00335918353563647,0.0359002170137516,0.914436199008932,0.00307368428629851,5.892
t9,50.135,33.644,0.0282161146109623,0.598419651702694,0.543822540405684,by_20,fp_20,5,4,0.0351637399116352,0.0335916172726777,0.488567271676422,0.0145723225753699,4.217
t10,34.709,17.034,0.0166376812203476,0.670796049707207,0.550072108908224,by_20,fp_24,5,3,0.0175584602416479,0.0302136173733285,0.632453493374059,-0.000604887894590567,24.877
t11,26.208,21.736,0.0138383359745728,0.546637744034707,0.591317950723504,by_20,fp_16,5,6,0.0707646382168262,0.033983622346733,0.324431376367462,0.00152061692452243,1.654
t12,173.46,31.374,0.115039409471346,0.846832068894812,0.674616138516825,by_8,fp_16,16,6,0.0335676750489028,0.0916024185187321,0.731823520362197,0.0860274627525828,0.412
t13,158.851,48.114,0.215321058809946,0.767525910178049,0.622752166975721,by_16,fp_20,8,4,0.0516264728297736,0.206673416517631,0.800129713720715,0.201468225851979,9.752
t14,85.136,27.503,0.0244892616436339,0.755830573779952,0.822797940814525,by_24,fp_16,4,6,0.0394095486251606,0.0921976642323094,0.700551757236581,0.0109616266824667,3.677
t15,34.747,11.086,0.0123222007307218,0.758121877250016,0.701558030756806,by_24,fp_24,4,3,0.0129727575005737,0.0496272161184551,0.792767364735274,0.00207489519007675,4.653
t16,2.244,17.54,0.0161268885094254,0.113424989890821,0.0875513707537845,by_24,fp_24,4,3,0.0270300909805123,1e-08,3.6995792236254e-07,0.00157889078051765,0.884
t17,68.377,11.884,0.0274889343812918,0.851933068364461,0.683307628504712,by_16,fp_24,8,3,0.00542607392456129,0.0265544196813725,0.83033176437419,0.00948551007535303,1.13
t18,187.387,119.739,0.119317639066458,0.610130695545151,0.539959485821478,by_8,fp_8,16,12,0.0636872605217053,0.21315231883761,0.769948861109038,0.0309000696812664,0.569
t19,45.521,115.832,0.103755493079965,0.282120567947296,0.485379576546189,by_20,fp_8,5,12,0.314675194613784,0.0753951070325882,0.193285945416423,0.0857500548362078,54.982
t20,25.441,43.448,0.0466994725737909,0.369304243057673,0.412683908014902,by_20,fp_16,5,6,0.0197108307218167,0.0295057085780671,0.599507990561555,0.0325672588746151,20.559
t21,118.193,48.847,0.0549438512310654,0.707573036398467,0.63764843771601,by_12,fp_12,11,8,0.0235351116750019,0.0499025318520577,0.679522509919182,0.0273488873388011,0.747
t22,8.773,43.272,0.0442504849562295,0.168565664328946,0.108451905603699,by_20,fp_24,5,3,0.0602467563654964,0.000119040760816036,0.00197199020774875,0.0310322091770748,1.031
t23,18.963,8.875,0.0125696840937418,0.681191177527121,0.615755122363052,by_24,fp_24,4,3,0.00229209487440718,0.01746388722432,0.883979704833057,-0.00322621748526108,1.601
t24,27.072,79.947,0.0333070130156001,0.25296442687747,0.403785488958991,by_24,fp_12,4,8,0.0434997262241771,0.002518353044621,0.0547252967667544,0.0103016226309057,34.543
t25,48.581,18.272,0.0194985441750426,0.726683918447938,0.491566240678343,by_12,fp_20,11,4,0.00619665299990246,0.0127059619942116,0.672180118897201,0.000370199328377341,2.068
t26,24.94,21.619,0.0390352006999297,0.535664425782341,0.697632134715171,by_24,fp_12,4,8,0.0363478355302485,0.00241180185517997,0.0622245722063097,0.0213833088743312,6.336
t27,31.598,21.896,0.0509951291635681,0.59068306725988,0.464053183469262,by_20,fp_24,5,3,0.0501313944312315,0.0161250111266493,0.243372863210376,0.0414531959348686,10.489
t28,94.029,33.081,0.0555046412036224,0.739745102666981,0.508260056999461,by_12,fp_20,11,4,0.0386908068326783,0.0325875224159019,0.457186956532809,0.035655415413347,0.141
t29,10.206,24.573,0.0203225435550714,0.293452945743121,0.453751250416806,by_24,fp_12,4,8,0.00862555635671036,0.00124195721431808,0.125863238533011,-0.00154918616762778,29.555
t30,5.165,29.516,0.0101957329296819,0.148928808281191,0.259248105205039,by_24,fp_12,4,8,0.0115533928246323,0.00425469619414165,0.269146776001116,-0.00992750524840158,5.468
t31,60.27,15.324,0.0136982414447627,0.797285498849115,0.746821640108052,by_24,fp_24,4,3,0.0135450074210736,0.0338927134224173,0.71446757600851,0.000919781606716019,1.554
t32,56.715,18.892,0.0211456114363465,0.750128956313569,0.782725704427832,by_20,fp_16,5,6,0.00935467838453885,0.0391597390365837,0.80717735300546,0.00310885975873854,0.041
t33,69.588,57.917,0.0467775782896771,0.545766832673228,0.742508942853764,by_20,fp_8,5,12,0.0371301394580051,0.0187842183498727,0.33594624147192,0.0100734825532115,0.481
t34,191.028,50.356,0.133128361097789,0.791386338779704,0.415645715777716,by_8,fp_24,16,3,0.0218253117603925,0.183759906850664,0.893838127527624,0.0699535242746399,3.49
t35,26.29,249.864,0.247141918260231,0.0952005040665715,0.112106093556778,by_20,fp_16,5,6,0.3142961847287,0.0285305885903842,0.083221588308768,0.232161832800131,11.837
t36,0.63,14.389,0.0160658708003737,0.0419468673014182,0.0419468673014182,by_24,fp_20,4,4,0.0318043101919218,1e-08,3.14422692881201e-07,0.00917619741843934,0.122
t37,15.439,7.795,0.00647349223439456,0.664500301282603,0.597661844974644,by_24,fp_24,4,3,0.00235182812071311,0.0125010087388868,0.841657984737573,-0.00521108990388663,7.131
t38,169.984,21.186,0.118571768837167,0.889177172150442,0.897465477324984,by_12,fp_8,11,12,0.0204294674044195,0.354556878813365,0.945519436612888,0.0675891283928449,9.753
t39,97.79,40.222,0.0493188041239928,0.708561574355853,0.469240716792906,by_12,fp_20,11,4,0.139608351764777,0.193233236244215,0.580556166073196,0.0262211854091402,30.707
t40,74.97,90.902,0.099530183737672,0.451975016880486,0.473603915007775,by_12,fp_8,11,12,0.253449175183378,0.0457946550142204,0.153034583817421,0.0768346929699039,0.786
t41,18.384,1.941,0.00572475296673628,0.90450184501845,0.850363106526666,by_20,fp_24,5,3,1e-08,0.00343597612963098,0.999997089627367,-0.00196202805346934,6.259
t42,8.236,20.369,0.00847750294534476,0.287921692011886,0.37753262231458,by_24,fp_16,4,6,0.0106553776980369,0.00739131152909689,0.40956606699825,-0.00758050047410896,22.032
t43,63.298,75.237,0.0679648179053406,0.456909806186162,0.296100518309227,by_16,fp_20,8,4,0.0912850311571202,0.0192712247629926,0.174311481540383,0.0305202703032926,4.33
t44,6.136,36.061,0.0135335933509707,0.145413181031827,0.213990836686385,by_20,fp_12,5,8,0.0167274158746289,0.0083661341237955,0.333397790441002,0.000991587205553257,1.098
t45,54.848,22.88,0.0151735141585728,0.705640181144504,0.635491495573991,by_12,fp_12,11,8,0.0959625629976565,0.0930994774111803,0.492428185001376,0.00327883391378625,7.663
t46,407.418,51.384,0.251190781231792,0.888003975571161,0.760281258047541,by_4,fp_8,30,12,0.0482416355131547,0.29292255386429,0.858597012772103,0.187766945236021,1.988
t47,16.946,51.085,0.0255143558596359,0.249092325557466,0.398837332454664,by_24,fp_12,4,8,0.0621838407208458,0.0095320293361153,0.132913807342006,0.00623452045718864,0.239
t48,67.407,16.72,0.0650000368071169,0.801252867688138,0.601882249293859,by_16,fp_24,8,3,0.0375024715425218,0.0202432842081592,0.350558823674595,0.0516615277312864,37.796
t49,21.224,6.975,0.00902592016563282,0.752650803219972,0.695321714061067,by_24,fp_24,4,3,0.00082846120558,0.00615117168504842,0.88130304006499,-0.0081970290326292,10.136
t50,114.697,192.077,0.169647151142444,0.373881098137391,0.589008062055445,by_20,fp_8,5,12,0.154476507991827,0.0597122201406961,0.27878320517292,0.155536736336371,6.549
t51,215.549,31.052,0.101076568722023,0.874079991565322,0.581293873665418,by_4,fp_16,30,6,0.0236919252653887,0.085509308341433,0.783043428330752,0.0542702915445626,46.908
t52,67.267,18.963,0.0259164879486284,0.78008813637945,0.680344283518084,by_20,fp_24,5,3,0.0398210281204665,0.0112935548948627,0.220945848105144,0.00648685916428904,3.874
