depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos,agemse
t0,10.806,261.45,0.0555034799649814,0.0396905853314528,0.110314835232145,by_16,fp_4,8,24,0.0782652219824387,0.0070148695285791,0.0822568245916201,0.0206772004425857,0.14700698
t1,9.984,21.472,0.0140158253749512,0.317395727365208,0.258563535911602,by_24,fp_24,4,3,0.0276072680574075,0.000889499874202171,0.0312140617608604,-0.00208871540652167,1.199
t2,17.96,12.649,0.00834138366335618,0.586755529419452,0.586755529419452,by_24,fp_20,4,4,0.0124812608024367,0.012239885529892,0.495118040456136,-0.00307687569088855,13.186
t3,27.709,215.948,0.14953831778315,0.11372133778221,0.381151289922488,by_20,fp_4,5,24,0.197429994411458,0.0363844358325178,0.155612447848288,0.12296354546109,4.399
t4,62.082,9.918,0.0270975210605492,0.86225,0.701253812267028,by_16,fp_24,8,3,0.00477407754199077,0.0411537098724725,0.896052524827544,0.00873436030194596,1.735
t5,37.675,19.622,0.0122607580060251,0.657538789116359,0.535321003149643,by_20,fp_24,5,3,0.00190940858808597,0.024496138919009,0.927689112010538,-0.00259210171689794,2.459
t6,122.796,85.876,0.0552898210861784,0.588464192608496,0.461773347639915,by_20,fp_24,5,3,0.18431637142496,0.15186104512733,0.45172887186998,0.0196244513032546,17.608
t7,95.515,162.107,0.14827403502461,0.370756379501751,0.306474090695667,by_16,fp_16,8,6,0.182497500593146,0.0307023952829896,0.144007552896869,0.103347006387454,1.31
t8,13.955,6.204,0.00746365821750921,0.692246639218215,0.692246639218215,by_24,fp_20,4,4,0.000741953292403563,0.00167273498987663,0.692733303156242,-0.00434491994221586,0.012
t9,37.579,65.082,0.0382629210596111,0.366049424805915,0.580850586971475,by_20,fp_8,5,12,0.0351015945699489,0.0102361483316773,0.225775428518524,0.0149815808474048,3.161
t10,43.445,15.074,0.0177908109141436,0.742408448538082,0.519414012840388,by_16,fp_24,8,3,0.0166704449259589,0.0184721148014546,0.525633731428082,0.00011209708069404,6.728
t11,63.686,2.849,0.0197758589616362,0.95718043135192,0.84821928025359,by_8,fp_20,16,4,0.00156205333061821,0.0378649832203763,0.96038116309863,-0.00446690179361364,1.265
