depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos,agemse
t0,84.869,158.448,0.0375302628783714,0.348800124939893,0.286590822366977,by_24,fp_24,4,3,0.230913471422066,0.176288314811365,0.432926182475798,0.0100573158856089,0.642
t1,51.627,19.198,0.0201771522588232,0.728937522061419,0.617373072216398,by_20,fp_24,5,3,0.0354125287280116,0.125080510546085,0.779351622424368,-0.00434197092869337,0.881
t2,20.856,3.062,0.00590285566580056,0.87197926248014,0.87197926248014,by_24,fp_20,4,4,1e-08,0.00739144282494109,0.999998647086001,-0.00921103220670028,0.247897
t3,31.325,123.954,0.118385506383886,0.201733653617038,0.232692021987818,by_20,fp_16,5,6,0.178445330551759,0.0174343001744777,0.0890051717467448,0.101929106100849,12.017
t4,94.226,14.364,0.034908042801293,0.867722626392854,0.710978646344224,by_16,fp_24,8,3,0.00985480606779932,0.0922287409135855,0.903463326273367,0.0165798973303527,9.16
t5,58.643,49.09,0.0200612387842704,0.544336461437071,0.472560295899154,by_16,fp_16,8,6,0.0795311107898705,0.109814294522083,0.579968097673984,0.000841971026984134,1.58200673
t6,108.99,34.977,0.0453487962254824,0.757048490279022,0.823759712186716,by_24,fp_16,4,6,0.0377411458131228,0.149613637365379,0.798557874142103,0.0190213520724464,5.386
t7,17.636,195.832,0.152541323638573,0.0826165982723406,0.212704028302645,by_24,fp_8,4,12,0.154651229860715,0.0204395977902488,0.116737113328371,0.122006656328652,7.435
t8,22.21,29.992,0.0101608649007246,0.425462625953029,0.470517618812231,by_20,fp_16,5,6,0.0664967515353345,0.0878969163382837,0.569303894057581,-0.000544089054881347,0.61800216
t9,75.335,8.221,0.0346201132712194,0.901610895686725,0.77459189164179,by_16,fp_24,8,3,0.00702726864916803,0.0273761618709076,0.795739304396771,0.0113688435706802,0.925
t10,2.693,34.9,0.0118301042343242,0.0716356768547336,0.0547064917828534,by_24,fp_24,4,3,0.0250858677107686,1e-08,3.98630660457509e-07,-0.00462034159623936,14.52
t11,2.892,26.286,0.0140747706258688,0.0991157721571047,0.141653605015674,by_24,fp_16,4,6,0.0236849803323683,1e-08,4.22208320952271e-07,0.0040319316726819,7.072
t12,74.868,107.052,0.106153564714988,0.411543535620053,0.626652046905995,by_20,fp_8,5,12,0.26000278519314,0.094674475509513,0.266931337300714,0.077935538013769,4.095
t13,117.685,45.666,0.183573014124779,0.720442482751866,0.607265409324286,by_20,fp_24,5,3,0.0883625855425653,0.100676370496694,0.532569437570241,0.156897099698802,7.548
t14,57.452,20.583,0.0238765475083629,0.736233741269943,0.582571133058874,by_16,fp_20,8,4,0.0262647562972126,0.015185231123272,0.366350681104608,0.0066562665866069,5.333
t15,19.43,0.52,0.00933808894858534,0.973934837092732,0.965545800894484,by_24,fp_24,4,3,1e-08,0.0279546348724674,0.999999642277695,0.00140984115078735,1.038
t16,3.112,24.661,0.0216116245535451,0.112051272818925,0.112051272818925,by_24,fp_20,4,4,0.0237871559808773,1e-08,4.20394762790955e-07,0.0102644530614171,0.837
t17,103.367,21.417,0.0342932162887616,0.828367418899859,0.568275278180938,by_12,fp_24,11,3,0.0302102723050413,0.0964726009131289,0.761528361825092,0.0142536230775638,0.598
t18,6.921,150.418,0.07190630373734,0.0439878224724957,0.0842688420796299,by_24,fp_12,4,8,0.118560163437031,0.00387728302386692,0.0316674606988409,0.052936745144595,0.944
t19,48.256,119.671,0.106544903152926,0.28736296128675,0.491811381937054,by_20,fp_8,5,12,0.309861592770634,0.0673878405810568,0.178629401725925,0.0894242559380971,75.801
t20,66.982,62.546,0.0575233919811119,0.517123710703477,0.631469291268062,by_20,fp_12,5,8,0.0199779082180378,0.034947537959482,0.636272263433802,0.0361266668632091,1.709
t21,16.98,47.843,0.0348783827277955,0.261944063064036,0.459980811558214,by_20,fp_8,5,12,0.0241647975780983,0.0114931964017762,0.322317526001686,0.0169790536200367,0.163
t22,49.617,28.723,0.0463406680684025,0.633354608118458,0.393125305373249,by_16,fp_24,8,3,0.0144838194437942,0.0521156640774459,0.782523547060617,0.0313958559063038,1.956
t23,57.667,6.98,0.0255185285092159,0.892029019134685,0.750266711769145,by_12,fp_20,11,4,0.0121191531353116,0.019490253901468,0.616596631464481,0.00641888775686505,2.485
t24,17.651,24.606,0.0177644666979497,0.417705942210758,0.364626047078509,by_20,fp_20,5,4,0.0128762092126146,1e-08,7.76625485701828e-07,0.00546851300624718,24.968
t25,24.054,41.61,0.0150454909876197,0.366319444444444,0.480500996299459,by_20,fp_12,5,8,0.0150884950516277,0.0126054973724357,0.455170824755579,-0.00430338704267896,0.59
t26,44.667,7.783,0.0309868685431951,0.85161105815062,0.821148711066581,by_20,fp_20,5,4,0.00584531979155367,0.0241811598454805,0.805327835223676,0.0098599295463474,1.471
t27,13.049,77.374,0.0535214935845649,0.144310628932904,0.212497608200919,by_20,fp_12,5,8,0.0622920427409347,0.00775526988783126,0.110714738321688,0.0401507836461498,4.372
t28,51.003,54.853,0.0653938151250828,0.481814918379686,0.527359926105021,by_20,fp_16,5,6,0.0268122696611857,0.0670645273533553,0.714388746592701,0.0460856816786502,5.359
t29,13.781,37.913,0.0142904483976707,0.266587998607189,0.179045334072444,by_20,fp_24,5,3,0.0188442277737397,0.00215704225558122,0.102710086226674,0.000718645174290655,9.154
t30,3.495,3.774,0.00349083403796667,0.480808914568716,0.409874516242524,by_24,fp_24,4,3,1e-08,1e-08,0.5,-0.0108934010149506,0.691
t31,28.339,6.267,0.00865009945427949,0.818904236259608,0.818904236259608,by_24,fp_20,4,4,0.00154232569771873,0.0122068523698899,0.887824152823197,-0.00206155781680595,16.109
t32,56.861,24.187,0.0196059993185877,0.701571908005133,0.738293143706679,by_20,fp_16,5,6,0.0412142736553061,0.0791284160567922,0.657525739586634,-0.00556748124038742,8.289
t33,71.633,7.096,0.048604849049517,0.90986802829961,0.858294825045231,by_20,fp_24,5,3,0.00982832286930191,0.0205486994703907,0.676455356308588,0.00069481921561021,2.415
t34,63.914,59.927,0.0980410980937234,0.516097253736646,0.285688317802961,by_16,fp_24,8,3,0.0530431352941323,0.0609174563155229,0.534548438675899,0.0806011712769978,2.765
t35,16.142,346.365,0.24017374125498,0.0445287953060217,0.0852610201004096,by_24,fp_12,4,8,0.394424010065684,0.0115071212307891,0.0283474716364754,0.227581421572233,5.563
t36,7.186,8.334,0.0130696905287378,0.463015463917526,0.392720515903377,by_24,fp_24,4,3,0.0187289045309386,0.0017918546629091,0.0873191213825225,0.00539671871844061,0.001032
t37,13.646,7.295,0.00718262469798637,0.651640322811709,0.583844376622265,by_24,fp_24,4,3,0.0137125270843356,0.00887275477803839,0.392855614205107,0.000501616353769774,6.238
t38,149.316,16.152,0.106265880650751,0.902385959823047,0.870520332313074,by_12,fp_12,11,8,0.0277976375650086,0.0998359628343904,0.782207526246831,0.0552781019438763,22.067
t39,59.384,11.428,0.0368959054812667,0.838614924024177,0.861795067772177,by_20,fp_16,5,6,0.010433272159589,0.0418920889743429,0.800607737175783,0.0170015501627744,26.33
t40,104.409,5.391,0.0845066527546203,0.950901639344262,0.784080924595039,by_8,fp_24,16,3,0.00695604690620466,0.0773930162286459,0.917532612127726,0.0266545095575544,6.182
t41,32.947,22.263,0.0184521945882859,0.596757833725774,0.470322046479758,by_20,fp_24,5,3,0.0128070454380894,0.0163678072564258,0.561024503801622,0.00504302873268248,100.813
t42,2.474,24.827,0.00697677566631882,0.0906193912310904,0.166179680940386,by_24,fp_12,4,8,0.0125473435876031,0.00127305383993725,0.0921141267182662,-0.00775832709028346,9.079
t43,40.793,75.309,0.0730073144786847,0.351354843155157,0.21311732345581,by_16,fp_20,8,4,0.183060116287798,1e-08,5.46268605992245e-08,0.0380877574127324,2.728
t44,34.58,104.55,0.0319039930226961,0.248544526701646,0.152836401405494,by_12,fp_16,11,6,0.0621736003844486,0.048958603511553,0.440543800943324,0.0134642965839509,27.432
t45,36.706,18.684,0.0106140736607526,0.66268279472829,0.416701669939946,by_12,fp_20,11,4,0.0175793523276946,0.024570430494127,0.58293136640805,-0.00681847104471811,1.776
t46,19.359,209.369,0.167310945014773,0.0846376482109755,0.307395295015882,by_20,fp_4,5,24,0.416539022673754,0.023528690686487,0.0534660689075055,0.137090604152542,2.419
t47,62.889,28.075,0.0328997036982548,0.691361417703707,0.619644134951357,by_12,fp_12,11,8,0.0214262884713751,0.0173258559494084,0.447094121070529,0.00850467227848128,1.63
t48,160.426,28.142,0.0817136009911585,0.850759407746807,0.587653941112259,by_8,fp_20,16,4,0.0963853045972419,0.307226159534585,0.761192847174032,0.0605859489957775,3.015
t49,8.669,19.305,0.00666434830248304,0.30989490240938,0.350170662250318,by_20,fp_16,5,6,0.0102439401242402,0.00235829721290015,0.187133216889191,-0.00967949780199273,12.986
t50,98.693,229.024,0.160801667478665,0.30115312907173,0.721104456746495,by_24,fp_4,4,24,0.227749045193782,0.0428790489770163,0.158442711235865,0.132874087032994,17.669
t51,48.915,171.105,0.0881762695820533,0.222320698118353,0.578452168899992,by_20,fp_4,5,24,0.349058420329216,0.116871349075882,0.250834689582304,0.0603382230912847,41.545
t52,91.133,9.576,0.0275494242309079,0.904914158615417,0.85097065167658,by_20,fp_24,5,3,0.00395243283129076,0.0307378993863785,0.886065293163217,0.00425163242200699,0.397
t53,96.653,88.024,0.0816671747182536,0.523362411128619,0.568525878447666,by_20,fp_16,5,6,0.0439716091880569,0.0602733405674138,0.578189549794001,0.0599506391858957,4.503
t54,42.802,31.14,0.029846528120217,0.578859105785616,0.451965111613271,by_20,fp_24,5,3,0.0090371863714469,0.0359435033520676,0.799087421135685,0.0149007731646502,9.275
t55,212.593,6.748,0.151280899914459,0.96923511792141,0.94030669338181,by_16,fp_20,8,4,0.018967769878556,0.365315114709215,0.950641127566992,0.0999912126251591,16.6
