depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos,agemse
t0,10.625,208.397,0.0476790089417563,0.0485111084731214,0.196609829720467,by_20,fp_4,5,24,0.07792997853455,0.000150160262789134,0.00192315568468548,0.0217138971603001,0.191
t1,24.556,19.209,0.0188558504379652,0.56108762709928,0.754182694891699,by_20,fp_8,5,12,0.0215257645019404,0.0854780243988829,0.798831754248519,0.000834829706523488,2.668
t2,34.288,17.816,0.0102799554992992,0.65806847842776,0.590737848019847,by_16,fp_16,8,6,0.0316315720133373,0.0428980203049392,0.575583724136641,-0.00805896875819179,5.46
t3,45.291,141.936,0.135139942529649,0.241904212533449,0.433693060489701,by_20,fp_8,5,12,0.158778203219466,0.0313966509008158,0.165093597920985,0.124307575890517,11.181
t4,57.918,14.794,0.0277200915736935,0.796539773352404,0.6810650632445,by_12,fp_16,11,6,0.00929490285039181,0.0458231370130812,0.831363690120055,0.0052736470346898,6.106
t5,80.087,35.474,0.0224273333765476,0.693027924645858,0.8312443616794,by_12,fp_4,11,24,0.0558458533772692,0.0980071314837974,0.637018070025099,-0.00677103509842514,5.592
t6,130.905,135.911,0.0588242867366335,0.490619003358119,0.822165376739439,by_20,fp_4,5,24,0.606252614741808,0.519624193985887,0.461528463822869,0.01597931742945,23.691
t7,30.73,136.641,0.145904427626581,0.183604089119382,0.402873736512972,by_24,fp_8,4,12,0.142434847024705,0.0376390721686133,0.209020119833155,0.122711063755795,5.583
t8,47.008,6.06,0.0132832608627546,0.885806889274139,0.808837193296397,by_12,fp_16,11,6,0.0020782565410179,0.0123875238245058,0.856332911982336,0.00118533033500812,1.964
t9,41.646,24.161,0.0279529512229065,0.63285060859787,0.579646402611095,by_20,fp_20,5,4,0.0195493492517094,0.0122292944625488,0.384827451181055,0.0181709854031378,0.218
t10,19.578,24.049,0.0160545193506108,0.448758796158342,0.565697134746035,by_20,fp_12,5,8,0.0245732940315811,0.0119375729491901,0.326959448962883,0.00101096978162574,9.337
t11,11.947,20.481,0.0108744472559957,0.368416183545084,0.411759637422668,by_20,fp_16,5,6,0.0571877956111022,0.0199617404248587,0.258740900470926,0.00339405736809062,6.439
t12,139.829,63.339,0.121875731030993,0.688243227279887,0.768059103018319,by_8,fp_4,16,24,0.0812762964372762,0.299369316795206,0.786477779824994,0.0927318387959615,9.731
t13,90.267,111.105,0.196396733090078,0.448259936833323,0.661002520856102,by_20,fp_8,5,12,0.308827205270379,0.0387063390172918,0.111374397244522,0.178147398927642,4.423
t14,82.107,3.84,0.020945151909492,0.955321302663269,0.941302578330104,by_24,fp_24,4,3,0.00917331363695395,0.0599876182050375,0.867362781376171,0.011665127724268,3.35
t15,33.593,4.941,0.011837417019919,0.871775574817045,0.836041910355641,by_24,fp_24,4,3,0.00112205847681879,0.0421525213925817,0.974071187283503,0.00440704989789387,8.774
t16,3.991,28.409,0.0234537104293226,0.123179012345679,0.123179012345679,by_24,fp_20,4,4,0.0434235078941148,1e-08,2.30289955419649e-07,0.0138156699888363,0.016
t17,79.98,15.407,0.0303472329005843,0.838479038024049,0.739007972502029,by_12,fp_16,11,6,0.0351708073258387,0.122728177778718,0.777257546636228,0.0135865366061781,2.992
t18,7.155,155.023,0.0682829168328394,0.0441181911233336,0.121622999864013,by_24,fp_8,4,12,0.194560693230341,0.0103193082581865,0.0503675721554715,0.0454162847856122,1.127
t19,66.503,82.76,0.105187053702358,0.445542431814984,0.616436324536767,by_24,fp_12,4,8,0.043342067323348,0.128205309363277,0.747346370661654,0.0946267820687953,34.942
t20,46.039,37.154,0.0445089769908922,0.553399925474499,0.597903914251825,by_20,fp_16,5,6,0.0187830187540247,0.0454363039233679,0.70751764467555,0.0321262236807635,2.631
t21,49.187,31.276,0.0434382787806,0.611299603544486,0.533530748496336,by_12,fp_12,11,8,0.0467268106255408,0.0100065211371938,0.176378168288128,0.0223951362328157,0.366
t22,25.548,29.299,0.0497061149136632,0.465804875380604,0.246415205956867,by_16,fp_24,8,3,0.0235260135488011,0.0442899469630521,0.653090314267699,0.0412758418032456,1.205
t23,40.484,2.394,0.0189352408146893,0.944167171976305,0.863787658957071,by_16,fp_24,8,3,0.00637569958529149,0.0194172416815875,0.752812231869089,0.00798287111627871,0.536
t24,19.063,60.794,0.0236190350363327,0.238714201635423,0.484722375257452,by_24,fp_8,4,12,0.0259655132808901,0.00909527601554083,0.259414468357867,0.00718859083472123,18.019
t25,18.548,18.353,0.0107607630044787,0.502642204818298,0.377480343805331,by_20,fp_24,5,3,0.0250076070335167,0.0180270887801047,0.418896623742342,0.00538024152395733,9.266
t26,12.951,15.558,0.0270512804182179,0.454277596548458,0.49972989658898,by_20,fp_16,5,6,0.0223210674076014,0.00140791961327402,0.0593333213944368,0.0127767568391136,4.002
t27,29.89,44.282,0.0548270245597422,0.402982257455644,0.519227846177231,by_20,fp_12,5,8,0.0381142500367894,0.0202300845259343,0.346736057194821,0.0464117665013735,5.176
t28,70.038,30.92,0.047695482941286,0.693734028011648,0.451659916939665,by_12,fp_20,11,4,0.0210524598582789,0.039852877735257,0.654341299299961,0.0334129042519297,0.142
t29,15.288,6.616,0.0148652293888775,0.697954711468225,0.634111270877115,by_24,fp_24,4,3,0.00497574520059296,0.00632245693813549,0.55959849722135,0.00418138726114647,18.666
t30,6.022,4.324,0.00480420197770193,0.582060699787357,0.510887393246988,by_24,fp_24,4,3,0.000665026607978625,1e-08,1.50367662171184e-05,-0.00966488487833495,0.16
t31,42.929,9.859,0.0107280609320708,0.813234068348867,0.867223325813946,by_24,fp_16,4,6,0.0118677466090102,0.0233080906673748,0.66261651383697,0.000613437187000132,10.044
t32,50.796,10.768,0.0168862600783063,0.825092586576571,0.738929728261924,by_20,fp_24,5,3,0.00473442376406774,0.0331940021059908,0.875174788948856,0.00722257842779495,3.828
t33,29.167,46.458,0.0415733962158487,0.385679338842975,0.556664630887854,by_24,fp_12,4,8,0.0766255257328554,0.0038952349876622,0.0483755363561741,0.0101805255220346,0.553
