depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos,agemse
t0,10.625,208.397,0.0476790089417563,0.0485111084731214,0.196609829720467,by_20,fp_4,5,24,0.0808525713546768,0.00251114396567387,0.0301227453217989,0.0259443780388262,0.191
t1,34.542,10.166,0.0172326317612145,0.772613402523038,0.670909514683793,by_20,fp_24,5,3,0.0107581483515535,0.0649641816085116,0.857926342768015,0.00368234970045167,1.716
t2,12.217,8.732,0.00631807292074812,0.58317819466323,0.677279866950014,by_24,fp_16,4,6,0.00445831029422683,0.00157047541293442,0.260496141216123,-0.00416161804464243,1.406
t3,49.781,154.001,0.135945919203174,0.244285560059279,0.326543419081875,by_16,fp_8,8,12,0.274341049198091,0.016650241235338,0.0572190363860636,0.120423595325252,5.378
t4,65.715,23.027,0.029119719608156,0.740517455094544,0.681565964743667,by_16,fp_16,8,6,0.0386446060395431,0.114828093152078,0.748198824656803,0.0131229131208555,4.269
t5,74.683,21.902,0.0199911743995211,0.77323600973236,0.650341064120055,by_12,fp_16,11,6,0.0291008742510317,0.0480156783478554,0.622637770098508,0.000161124971360893,3.912
t6,130.905,135.911,0.0588242867366335,0.490619003358119,0.822165376739439,by_20,fp_4,5,24,0.570313252149325,0.498056913253561,0.46618384655635,0.0278073540518495,23.691
t7,75.174,134.131,0.147788596254206,0.359160077399011,0.29594276461001,by_16,fp_16,8,6,0.142776186286887,0.0481502222555275,0.252192573165335,0.120833412931858,3.645
t8,47.008,6.06,0.0132832608627546,0.885806889274139,0.808837193296397,by_12,fp_16,11,6,0.00407351250341237,0.0139675043352723,0.774208264432319,-2.08077135814833e-05,1.964
t9,37.676,41.397,0.0310469645881125,0.476471108975251,0.685956695296747,by_20,fp_8,5,12,0.0252997333143314,0.018531831478995,0.422796483912355,0.0186119833769542,0.198
t10,26.016,9.154,0.0133808361019125,0.739721353426215,0.630344537950863,by_20,fp_24,5,3,0.00722625309038061,0.0127481670021392,0.638224636464577,0.00110936271214346,11.296
t11,47,9.193,0.0171664837054566,0.836403110707739,0.657207845476918,by_8,fp_16,16,6,0.0122307547111444,0.0118864226763677,0.492861270014231,0.00228357769196608,2.687
t12,89.676,77.726,0.110366755947892,0.535692524581546,0.775846853965636,by_24,fp_8,4,12,0.0945406572562058,0.0506185697195222,0.34871065914388,0.0996397496396653,4.322
t13,89.493,131.743,0.200101318092475,0.40451373194236,0.765293437095477,by_20,fp_4,5,24,0.385320444296216,0.0276535237517852,0.0669619053290326,0.176239190978436,4.833
t14,58.81,4.525,0.0210680850082026,0.928554511723376,0.928554511723376,by_24,fp_20,4,4,1e-08,0.0289014964461369,0.999999653997275,0.0081662124440196,3.001
t15,33.374,8.398,0.0124578897543328,0.798956238628746,0.856343762294942,by_24,fp_16,4,6,0.000593377197977252,0.0426342848094573,0.98627320631231,0.00597109664286732,7.756
t16,2.096,33.906,0.0231136236914684,0.0582189878340092,0.0471238913182774,by_20,fp_20,5,4,0.0736637223732296,1e-08,1.35752013614153e-07,0.0135100732955072,0.115
t17,79.98,15.407,0.0303472329005843,0.838479038024049,0.739007972502029,by_12,fp_16,11,6,0.0377635323264197,0.136419724116668,0.783196541977853,0.0116371052184246,2.992
t18,10.7,123.831,0.0714067873753653,0.0795355717269625,0.121460649445552,by_20,fp_12,5,8,0.13125615419018,0.005091895415817,0.0373448350052015,0.0572325660913142,0.249
t19,56.981,116.501,0.111243529429753,0.328454825284468,0.74584575915111,by_24,fp_4,4,24,0.0690975098230633,0.10726939733262,0.608217261744748,0.0964507468516034,32.718
t20,49.123,22.271,0.0418375097223079,0.688055018629016,0.569599264080642,by_20,fp_24,5,3,0.00583673183962741,0.0283937630618298,0.82948736626712,0.0291917512910601,3.088
t21,29.948,21.341,0.036732408500032,0.583906880617676,0.457107387979588,by_20,fp_24,5,3,0.0136607373046667,0.0237698988219663,0.635038601576246,0.0305758944718749,0.170578
t22,15.296,31.891,0.0478659120481104,0.324157077161082,0.223469998977321,by_20,fp_24,5,3,0.0237169822998883,0.0372526586966239,0.611003412317205,0.0402645737474764,0.604
t23,22.514,2.649,0.0157095164666648,0.894726383976473,0.864393764877524,by_24,fp_24,4,3,0.00204365164856579,0.024121364933821,0.921893737688609,0.00810132426287646,2.776
t24,15.934,29.681,0.021097503976716,0.349314918338266,0.300441687368307,by_20,fp_20,5,4,0.0202945501151809,0.00339091038243988,0.143164215987293,0.00696878021541714,21.025
t25,12.251,28.43,0.0116464982020075,0.301147956048278,0.462895790825965,by_24,fp_12,4,8,0.0127199004470323,0.0115797560901899,0.476539907979853,0.00394355323918638,7.022
t26,11.277,19.251,0.0277141430863625,0.36939858490566,0.483807133548916,by_20,fp_12,5,8,0.0391411053869961,0.00434098254926329,0.0998338110080353,0.0141333420468748,3.937
t27,45.135,76.321,0.0610362706260605,0.371616058490317,0.563374421602989,by_12,fp_4,11,24,0.359754750183481,0.161449436184607,0.309762354960417,0.0418982083256453,8.857
t28,61.864,39.863,0.0493007891860935,0.608137465962822,0.458434659747035,by_12,fp_16,11,6,0.0355298232343914,0.024749244715498,0.410577760360733,0.0329234035544347,0.218
t29,9.305,17.243,0.0167728602848334,0.350497212596052,0.618162894725187,by_24,fp_8,4,12,0.0105611088816803,0.00575132688556168,0.35257315140583,0.00414292999830324,17.186
t30,6.022,4.324,0.00480420197770193,0.582060699787357,0.510887393246988,by_24,fp_24,4,3,1e-08,0.00160024779505652,0.99999375100685,-0.0101284958493018,0.16
t31,43.381,15.078,0.0116648069529759,0.742075642758172,0.851944226237235,by_24,fp_12,4,8,0.0109705446833654,0.0246437086502513,0.691961963077008,-3.74822503794725e-05,9.455
t32,41.586,13.116,0.0173076107268348,0.760228145223209,0.791872953004799,by_20,fp_16,5,6,0.00970159030573348,0.0288128340403894,0.748105015966307,0.00578019257061702,4.334
t33,65.258,30.634,0.0504601526476084,0.680536436824761,0.836403329822935,by_20,fp_8,5,12,0.0184323769775935,0.025169704525175,0.577259242166612,0.00683196682899478,0.329
t34,186.688,45.096,0.129235111625865,0.805439547164602,0.530303374616521,by_12,fp_24,11,3,0.0226861825000184,0.224219312593622,0.908117952209146,0.0938040430839155,4.102
t35,38.496,282.709,0.249419734557818,0.119848694758799,0.290027298045942,by_16,fp_4,8,24,0.513418688849163,0.0204704737079869,0.0383421787584903,0.227054363834274,7.286
t36,2.856,25.657,0.0189773518780474,0.100164837091853,0.250343316289262,by_24,fp_8,4,12,0.029654237191223,1e-08,3.37219823370185e-07,0.00779806797625482,0.025283
t37,8.126,1.319,0.00439026030471362,0.860349391212282,0.822081338099413,by_24,fp_24,4,3,1e-08,0.00211458166224099,0.999995270954587,-0.00302274845416473,2.698
t38,160.876,8.757,0.116427521086333,0.948376789893476,0.869798643203651,by_12,fp_20,11,4,0.00416046942304649,0.22553083638955,0.981886691756452,0.0905553084963275,2.821
t39,172.538,18.833,0.061624937170184,0.901589059993416,0.646929355875262,by_4,fp_16,30,6,0.0109020874774014,0.0478025732791977,0.814289234672464,0.0215957506989667,36.957
