docid	hathi_author	hathi_title	firstpub	pubdate_known	heading
uc1.$b104492	Zara, Louis	Against this rock	1943	True	Biographical novels
mdp.39015054021426	Fast, Howard	Citizen Tom Paine	1943	True	Biographical novels
mdp.39015059447683	Corbett, Elizabeth Frances	Mr. Underhill's progress	1934	True	Character studies
mdp.39015013426575	Deeping, Warwick	Seven men came back	1934	True	Character studies
mdp.39015003687905	Gordon, Caroline	Aleck Maury, sportsman	1934	True	Character studies
pst.000005616565	Kerr, Sophie	Stay out of my life	1934	True	Character studies
uc1.$b809275	Shanks, Edward	Tom Tiddler's ground	1934	True	Character studies
mdp.39015060429811	Brown, Rollo Walter	As of the gods	1937	True	Character studies
mdp.39015011884213	Sinclair, Upton	Wide is the gate	1943	True	Character studies
uc1.$b86169	Brinig, Myron	Hour of nightfall	1947	True	Character studies
uc1.$b86163	Brinig, Myron	Footsteps on the stair	1950	True	Character studies
uc1.$b300921	Hooke, Nina Warner	Striplings	1932	True	Children, Stories about
uc1.b3711112	Maxwell, William	They came like swallows	1937	True	Children, Stories about
uc1.32106006269150	Cain, James M. (James Mallahan)	The postman always rings twice	1934	True	Crime and criminals
uc1.b3810948	Callaghan, Morley	More joy in heaven	1937	True	Crime and criminals
uc1.b3872967	Herbert, A. P. Sir, (Alan Patrick)	Holy deadlock	1934	True	Divorce
uc1.$b301042	Kennedy, Margaret	Together and apart	1937	True	Divorce
mdp.39015063947124	Norris, Kathleen Thompson	You can't have everything	1937	True	Divorce
pst.000049201062	Roth, Joseph	Tarabas, a guest on earth	1934	True	Education
uc1.$b105474	Stong, Phil	The rebellion of Lennie Barlow	1937	True	Education
mdp.39015001782393	Herbst, Josephine	The executioner waits	1934	True	Family chronicles
uc1.$b105955	Waugh, Alec	The Balliols	1934	True	Family chronicles
uc1.$b103015	Hummel, George F. (George Frederick)	Joshua Moore, American	1943	True	Family chronicles
mdp.39015029154039	Thirkell, Angela	Wild strawberries	1934	True	Family life
