depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos,agemse
t0,15.93,214.018,0.0486311435956491,0.069276532085515,0.139710391088237,by_12,fp_4,11,24,0.211598351145073,0.0933738674184611,0.306171715765673,0.0189300290863849,1.56
t1,27.425,15.217,0.0181393583085915,0.643145255851039,0.683815737527791,by_20,fp_16,5,6,0.0154021704306697,0.0897610188036726,0.853540287786936,0.00150758530322848,2.427
t2,13.018,12.802,0.00704872428953638,0.504182804027885,0.670374375611514,by_24,fp_12,4,8,0.0143334132401312,0.0058881006504532,0.291180011660494,-0.00520931813871051,1.665
t3,47.797,125.046,0.13210814822851,0.276534195773043,0.37948960208653,by_20,fp_12,5,8,0.130586415442245,0.049473035126974,0.274759447341284,0.120726264472828,13.083
t4,65.715,23.027,0.029119719608156,0.740517455094544,0.681565964743667,by_16,fp_16,8,6,0.0362490575625701,0.112166889725536,0.755760359820342,0.0119275412247876,4.269
t5,54.069,9.86,0.013679133774697,0.845766397096779,0.67281520778806,by_16,fp_24,8,3,0.00362024474329381,0.0224555140367331,0.861164356756253,-0.00438239574014876,3.661
t6,91.595,27.489,0.0414943645870538,0.769162943804373,0.624910454176417,by_16,fp_20,8,4,0.0194488638493991,0.048681567605927,0.714534849788057,0.00792513697666186,6.318
t7,59.613,152.517,0.1510889984054,0.281021071984161,0.369599047684,by_16,fp_8,8,12,0.193095611691234,0.0430743312723005,0.182387016450063,0.123317130512606,3.749
t8,12.061,14.78,0.0076542224792202,0.449349875190939,0.566284010611076,by_20,fp_12,5,8,0.0256463941295082,0.0431313597560274,0.627112072136136,-0.00271774967455007,6.009
t9,51.048,19.439,0.0271053431671112,0.724218650247563,0.61174647178426,by_20,fp_24,5,3,0.0116849476472055,0.0199171930133372,0.630248223602304,0.0183016956694074,0.426
t10,26.016,9.154,0.0133808361019125,0.739721353426215,0.630344537950863,by_20,fp_24,5,3,0.00231329991630358,0.019284185735441,0.892890313548294,0.00261763837882822,11.296
t11,51.673,2.22,0.0159147587458383,0.958807266249791,0.853351609333972,by_8,fp_20,16,4,0.00356326328398182,0.0436690679921287,0.924558809872167,0.0020878060204822,2.375
t12,127.166,39.741,0.103548342942007,0.761897344029909,0.761897344029909,by_24,fp_20,4,4,0.0304671991098762,0.0809438729330164,0.726533471483458,0.0904595086126271,4.812
t13,104.799,69.753,0.18897400270107,0.60038842293414,0.54585584424209,by_20,fp_20,5,4,0.118334204222658,0.0969737298571464,0.450395524306145,0.178299180805516,7.647
t14,81.572,10.748,0.0221851254785867,0.883578856152513,0.919252325214491,by_24,fp_16,4,6,0.0132115521335122,0.0781349276407309,0.855368787432601,0.0109127277337736,2.649
