depvar,cmse,pmse,totalr2,delta
t0,6.127,5.262,0.0124653470691998,0.537975239265958
t1,0.234,36.631,0.0140802275487743,0.00634748406347484
t2,14.017,0.888,0.00413683372812227,0.940422676954042
t3,51.492,3.412,0.123906799341941,0.937855165379572
t4,82.192,11.749,0.0233212643928105,0.874932138256991
t5,7.152,1.419,0.00438967422581412,0.834441722086104
t6,96.425,29.301,0.0342743537655442,0.766945580070948
t7,86.465,46.362,0.125133142825579,0.650959518772539
t8,11.64,7.894,0.00457859612348607,0.595884099518788
t9,2.547,2.845,0.0217366892074569,0.47236646884273
t10,26.313,0.82,0.0100594972322318,0.969778498507353
t11,0.466,1.579,0.00736202123816194,0.227872860635697
t12,154.059,6.427,0.0988398771912257,0.959952893087248
t13,66.387,3.358,0.181431542993903,0.951853179439386
t14,6.542,2.439,0.00831308436259174,0.728426678543592
t15,0.217,0.102,0.00762618121469645,0.68025078369906
t16,6.44,0.171,0.0214872350964313,0.974134019059144
t17,28.736,2.577,0.0210044291895194,0.917701912943506
t18,37.588,5.066,0.0592272908861025,0.881230365264688
t19,62.621,8.695,0.0945804552088754,0.878077850692692
t20,45.825,15.143,0.0360282863159938,0.751623802650571
t21,14.928,4.179,0.0359131782287919,0.781284346051185
t22,9.247,5.633,0.0459404171522854,0.621438172043011
t23,16.646,1.069,0.0133805161780209,0.939655659046006
t24,27.268,23.253,0.0162094580963602,0.539735951386552
t25,0.003,19.646,0.00701746142109321,0.000152679525675607
t26,16.937,0.045,0.0264136589548499,0.997350135437522
t27,19.647,53.372,0.0495790152785007,0.26906695517605
t28,9.926,3.98,0.0384164567288213,0.713792607507551
t29,32.286,2.352,0.0150742699747462,0.932097696171834
t30,2.363,1.975,0.00392557540533279,0.544721069617335
t31,1.604,5.451,0.00199824370235817,0.22735648476258
t32,2.553,11.162,0.00775670888113682,0.186146554866934
t33,33.507,0.035,0.0426452529486362,0.998956532108998
t34,6.143,18.187,0.101877383197119,0.252486642005754
t35,1.634,143.092,0.239265795190466,0.0112903002915855
t36,3.288,0.99,0.0159578846432588,0.768583450210379
t37,2.795,0.509,0.00378118712329968,0.845944309927361
t38,23.642,5.159,0.0940939365755737,0.820874275198778
t39,40.617,6.976,0.0264164913573213,0.853423822831089
t40,12.899,8.304,0.0680218307336779,0.608357307928123
