depvar,cmse,pmse,totalr2,delta
t41,7.03,6.558,0.00508028545331103,0.517368266117162
t42,5.006,7.725,0.00280782814280001,0.393213416071008
t43,3.665,40.194,0.0596250577159056,0.0835632367359037
t44,10.965,45.916,0.0154099547792482,0.192770872523338
t45,4.952,5.639,0.00309567990121775,0.4675668020017
t46,40.2,9.274,0.158311340293717,0.812548005012734
t47,0.249,3.438,0.0196313344143196,0.0675345809601302
t48,144.824,0.0007764,0.0629172502506393,0.999994639038849
t49,16.884,51.168,0.00538420452594369,0.248104390760007
t50,318.434,80.845,0.148680035673417,0.797522534368199
t51,2.035,59.576,0.055304873283398,0.0330298161042671
t52,4.606,1.182,0.0123378223635156,0.795784381478922
t53,47.758,48.107,0.0683539415747859,0.498179731914672
t54,1.999,0.197,0.0245416815519828,0.910291438979964
t55,36.337,13.762,0.10926177459806,0.725303898281403
t56,0.885,0.094,0.00330386223601045,0.903983656792646
t57,5.818,2.693,0.0362037637223117,0.683585947597227
t58,9.549,24.881,0.0122790292834838,0.277345338367703
t59,1.541,30.165,0.0417329303423699,0.048602788115814
t60,9.591,2.633,0.00179565117132452,0.784604057591623
t61,0.468,4.105,0.0156764538651887,0.102339820686639
t62,33.752,5.045,0.0381093413542562,0.869964172487563
t63,0.838,19.077,0.00762020518304571,0.0420788350489581
t64,32.083,1.671,0.0299910305283855,0.950494756177046
t65,113.722,146.843,0.120636015860632,0.43644388156506
t66,1.596,0.75,0.00779186106927419,0.680306905370844
t67,5.482,68.727,0.0519543630014585,0.0738724413480844
t68,1.087,3.453,0.000933692307288727,0.23942731277533
t69,13.978,3.265,0.00340241750494488,0.810647799106884
t70,1.828,7.054,0.142637616271337,0.205809502364332
t71,22.639,0.00215,0.0208252825649821,0.999905040159179
t72,7.819,4.428,0.0145716408609529,0.638442067445089
t73,5.281,21.779,0.0128649744769363,0.195158906134516
t74,24.186,13.919,0.00971573359907981,0.634719853037659
t75,12.022,1.742,0.0161054761031632,0.873437954083115
t76,13.477,6.272,0.0342912707584302,0.6824142994582
t77,0.096,0.79,0.000364707259491576,0.108352144469526
t78,21.263,29.82,0.129980923621337,0.416244151674725
t79,4.451,17.037,0.0109290121208504,0.20713886820551
t80,0.108,14.229,0.0132569370668342,0.00753295668549906
t81,0.135,0.058,0.00158443526269901,0.699481865284974
t82,0.00085557,1.334,0.00135607894796768,0.000640945746662315
t83,73.538,50.998,0.100882066416129,0.590495920858226
t84,22.464,27.162,0.027207502305613,0.452665941240479
t85,17.382,6.854,0.00907739425988055,0.717197557352698
t86,15.79,45.826,0.00923040550252152,0.256264606595689
t87,2.597,36.843,0.140744138705247,0.0658468559837728
t88,10.458,43.524,0.0570734724403004,0.193731243747916
t89,25.857,10.765,0.11266711792787,0.706051007591065
t90,3.026,2.702,0.0195887302655744,0.528282122905028
t91,6.333,11.515,0.00711469281077847,0.35482967279247
t92,9.839,4.335,0.00435510162812448,0.694158318047128
t93,0.836,20.508,0.0148210184473197,0.039167916041979
t94,0.483,1.757,0.00426640148935512,0.215625
t95,2.562,11.01,0.00238613112197292,0.188770999115827
t96,1.156,0.024,0.00211090443248615,0.979661016949153
t97,34.726,136.222,0.16470254501297,0.20313779628893
t98,0.529,0.426,0.015811637991223,0.553926701570681
t99,25.257,49.068,0.0160099993036597,0.339818365287588
t100,13.787,18.768,0.0404733472646736,0.423498694516971
t101,63.844,15.686,0.0437768327773569,0.802766251728907
t102,2.49,16.44,0.00549955437139679,0.131537242472266
t103,15.463,7.86,0.0079165859474172,0.662993611456502
t104,2.87,0.454,0.00447212198012199,0.863417569193743
t105,1.989,3.03,0.00673136642886157,0.396294082486551
t106,24.722,70.764,0.0112742050126612,0.258907064910039
t107,18.934,3.329,0.0261289058977968,0.850469388671787
t108,12.801,9.031,0.0275152881710862,0.586341150604617
t109,8.644,1.174,0.0675789726014926,0.880423711550214
t110,30.154,0.00033936,0.0143954518070145,0.999988745898361
t111,0.002137,1.29,0.0103738361052282,0.00165384939832231
t112,1.539,3.738,0.00100449637631981,0.291642978965321
t113,64.677,36.212,0.124485611401912,0.641070879877886
t114,3.99,0.139,0.0421899224254802,0.966335674497457
t115,25.509,46.011,0.0982203035267512,0.356669463087248
t116,65.841,98.451,0.0602706084965708,0.400755971075889
t117,2.727,26.029,0.0206804271260523,0.0948323828070664
t118,4.371,4.06,0.0627050762016691,0.518443838216107
t119,28.383,0.441,0.0277818255232082,0.98470024979184
t120,7.839,9.725,0.00979756863213892,0.446310635390572
t121,0.576,0.874,0.00546456355611331,0.397241379310345
t122,20.705,18.904,0.0170829968941392,0.522734732005352
t123,2.659,0.024,0.0189313432479054,0.991054789414834
t124,21.764,14.424,0.097979859674085,0.601414833646513
t125,36.39,1.284,0.0107665229088152,0.965918139831183
t126,0.0030615,39.948,0.123827009910195,7.66312554673923e-05
t127,91.862,47.233,0.22587108377226,0.660426327330242
t128,4.708,11.962,0.00555924431373172,0.282423515296941
t129,93.307,8.887,0.14509221347746,0.913037947433313
t130,69.926,10.352,0.134573971748653,0.871048107825307
t131,7.642,155.828,0.353930043262837,0.0467486388939867
t132,25.318,5.478,0.00694317114910717,0.822119755812443
t133,3.709,4.279,0.00431845508655706,0.464321482223335
t134,0.1,1.95,0.00540639904340592,0.0487804878048781
t135,6.544,97.424,0.0281475513406921,0.0629424438288704
t136,49.92,1.907,0.0945391645430075,0.963204507303143
t137,0.0010167,12.018,0.0080235997550174,8.45909466121301e-05
t138,0.976,0.141,0.00234671553498039,0.873769024171889
t139,137.972,23.637,0.109834288746483,0.853739581335198
t140,34.014,1.609,0.0380328023041008,0.954832552002919
t141,99.547,21.928,0.116316551849061,0.819485490841737
t142,12.835,1.602,0.215693395278071,0.889035118099328
t143,37.692,14.481,0.0332994389708021,0.722442642746248
t144,25.097,1.231,0.006820094380407,0.953243694925554
t145,4.169,8.962,0.0118731664033302,0.317492955601249
t146,0.849,4.524,0.00241149089537764,0.158012283640424
t147,22.445,9.865,0.0143219931729196,0.694676570721139
t148,3.598,20.067,0.0206412368626111,0.152038875977181
t149,12.363,16.334,0.00325272372474729,0.430811583092309
t150,11.733,0.063,0.00561209089760162,0.994659206510682
t151,45.073,58.587,0.0246621874784507,0.434815743777735
t152,5.403,27.039,0.00949194277223198,0.166543369705937
t153,0.484,0.476,0.00287856086631077,0.504166666666667
t154,0.184,0.363,0.0326878301670782,0.336380255941499
t155,0.785,18.315,0.0967560496079045,0.0410994764397906
t156,2.46,5.057,0.00216225446519183,0.327258214713316
t157,155.996,356.078,0.192893953649188,0.304635658127536
t158,3.974,37.704,0.0123512387449826,0.0953500647823792
t159,0.964,0.547,0.00845352466010697,0.637988087359365
t160,2.43,4.47,0.0138293420971524,0.352173913043478
t161,1.843,0.216,0.0042904313385402,0.895094706168043
t162,3.275,26.906,0.00439475284613788,0.108511977734336
t163,2.862,5.19,0.00194205008381739,0.355439642324888
t164,5.826,20.736,0.0406718904911219,0.219335893381522
t165,11.349,5.797,0.0222459307062846,0.661903650997317
t166,0.645,1.835,0.000975535195317917,0.26008064516129
t167,5.682,73.502,0.0304418940763813,0.0717569205900182
t168,0.1,2.355,0.0134688230828109,0.0407331975560081
t169,3.251,0.309,0.000547298040536621,0.913202247191011
t170,0.13,6.188,0.00504358965016829,0.0205761316872428
t171,31.994,1.909,0.0133862648612594,0.943692298616642
t172,37.439,49.196,0.0148508321567901,0.432146361170428
t173,2.725,0.014,0.0125183527426153,0.994888645491055
t174,19.074,3.369,0.00264313978639671,0.84988637882636
t175,27.525,19.134,0.0223241186528737,0.589918343727898
t176,4.98,0.018,0.00787598962468797,0.99639855942377
t177,6.232,16.415,0.00634270983838698,0.2751799355323
t178,24.399,7.43,0.0245095870863212,0.766565082157781
t179,17.186,46.375,0.0308454650693459,0.270385928478155
t180,1.222,0.071,0.00652578890460287,0.945088940448569
t181,0.143,4.009,0.0440857513806783,0.0344412331406551
t182,0.006,47.586,0.0128043275893846,0.000126071608673727
t183,13.154,23.979,0.00258933950306606,0.354240163735761
t184,18.492,2.223,0.0102566765327009,0.892686459087618
t185,0.021,2.433,0.00168938491747691,0.00855745721271393
t186,9.037,0.976,0.00184873237418293,0.902526715270149
t187,13.65,21.052,0.0140804078720383,0.393349086507982
t188,0.00256831,26.432,0.010090158995127,9.71572514399045e-05
t189,22.414,0.469,0.00914320070054798,0.979504435607219
t190,0.074,0.018,0.137386492157933,0.804347826086957
t191,0.008398,119.511,0.0411103320765881,7.02647448073659e-05
t192,23.513,0.517,0.0116620706397427,0.978485226799834
t193,117.784,208.291,0.185481657677394,0.361217511308748
t194,0.749,103.571,0.0508630882799466,0.00717983128834356
t195,4.71,22.389,0.00895187156086312,0.173807151555408
t196,2.912,0.448,0.0140113770650985,0.866666666666667
t197,5.436,0.37,0.00811797939345286,0.936272821219428
t198,5.943,2.952,0.118319599788155,0.668128161888702
t199,1.672,3.548,0.0044671152866274,0.320306513409962
