depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos
Analytic,35.497,10.925,0.032849010893046,0.764658997888932,0.795876042106522,by_20,fp_16,5,6,0.00391239166496471,0.0197205896706318,0.834452047779864,0.0232981900822265
Clout,28.793,32.711,0.0207580009331228,0.468148413111342,0.513682194860145,by_20,fp_16,5,6,0.0178077759285352,0.00929300934694532,0.342905537698687,0.0116903396394426
Authentic,8.795,36.617,0.0290463383859263,0.19367127631463,0.223739161773123,by_20,fp_16,5,6,0.0519818443457776,0.00850475765207281,0.140605644409899,0.0199995416568079
Tone,110.597,1.417,0.147557713242818,0.987349795561269,0.955129570669415,by_12,fp_24,11,3,0.00244823660686799,0.203186127193907,0.98809422432313,0.126137809302322
WPS,26.831,15.107,0.00890902091594187,0.639777767180123,0.586922164071771,by_20,fp_20,5,4,0.0210919475076454,0.011713214843674,0.357054012360433,0.00355135459365615
Sixltr,60.405,69.79,0.0323483148187186,0.463957909289911,0.675035620826776,by_20,fp_8,5,12,0.0395527567731812,0.0399043798759103,0.50221265903579,0.0140578520995051
Dic,36.523,32.066,0.0341257208333632,0.532490632608727,0.476767333938164,by_20,fp_20,5,4,0.0240322968711708,0.010598566228602,0.306043952703897,0.0218197690572642
was_function,22.351,32.907,0.0199648756803693,0.404484418545731,0.404484418545731,by_24,fp_20,4,4,0.0273773124175388,0.00674423757238218,0.197653318046054,0.0106757667056007
pronoun,50.054,60.466,0.0186633928312137,0.452895403546869,0.712925157149097,by_24,fp_8,4,12,0.0244537690760283,0.0314496203046999,0.562570904073692,0.00303505727639789
ppron,48.01,72.418,0.0200511403346919,0.398661440860929,0.665425413956239,by_24,fp_8,4,12,0.0317791405879941,0.0429111853824824,0.574521329568762,0.00518291081273312
i,76.448,27.721,0.0432937203172606,0.733884360990314,0.623303773077247,by_20,fp_24,5,3,0.0162901165704212,0.0508383364664403,0.757329182582593,0.0356619810178238
we,25.439,32.044,0.0209020955434679,0.442548231651097,0.32264296917607,by_20,fp_24,5,3,0.043293564830068,0.0130038798273848,0.230985258860472,0.0145800045998523
you,103.059,23.988,0.0223192526909952,0.811187985548655,0.774623432849283,by_20,fp_20,5,4,0.0439822251841082,0.0559006595994085,0.559662045410142,0.00959707909530345
shehe,10.838,91.914,0.0204931810547998,0.10547726564933,0.0812504685508659,by_24,fp_24,4,3,0.0489959531070221,0.00247641716274205,0.048111581995608,0.0117025633998422
they,35.813,33.626,0.0270801918848292,0.515747634614554,0.515747634614554,by_16,fp_12,8,8,0.0195692422379156,0.00954924044498606,0.327944300840695,0.0131993160931469
