"depvar","cmse","pmse","totalr2","delta","adjdelta","bywidth","fpwidth","bydf","fpdf"
"shehe",14.663,75.86,0.012264089384362,0.161980933022547,0.204910701808323,24,12,6,8
"sexual",32.119,162.407,0.109207163081957,0.165114174968899,0.441675862803945,20,4,6,24
"home",20.052,85.157,0.026245009136846,0.190592059614672,0.135681299162649,20,20,6,4
"nonflu",16.436,54.94,0.016752045035166,0.230273481282224,0.544761525968645,20,4,6,24
"power",19.416,51.57,0.005927460799549,0.273518722001521,0.429548018849141,20,8,6,12
"achieve",21.685,54.561,0.020003532717962,0.284408362405897,0.284408362405897,24,16,6,6
"sad",23.14,55.128,0.096516456784077,0.295650840701181,0.218648423917152,20,20,6,4
"see",24.689,55.436,0.045000588068228,0.30813104524181,0.640474213967002,24,4,6,24
"negemo",19.568,43.004,0.01702791129733,0.312727737646232,0.47645483321159,20,8,6,12
"ppron",32.897,71.979,0.001200855535263,0.313675197375949,0.646411255262395,24,4,6,24
"relig",24.55,53.583,0.004472276021666,0.314207825118708,0.47817068063847,20,8,6,12
"Sixltr",56.942,120.91,0.009360322781639,0.32016508107865,0.585549949269202,16,4,8,24
"swear",41.091,83.38,0.21124149652202,0.330125089378249,0.518126853297635,12,4,11,24
"was_function",24.812,46.933,0.010780576071229,0.345835946755871,0.345835946755872,24,16,6,6
"motion",20.086,37.835,0.032249115217559,0.346782686763005,0.284775848542992,16,16,8,6
"ingest",27.884,50.221,0.077586416220161,0.357006593687984,0.27015322311087,24,20,6,4
"Authentic",25.664,45.002,0.018929425055168,0.363173237483373,0.293162976522631,12,12,11,8
"pronoun",33.382,54.351,-0.000675127615415,0.380495366623733,0.551244684803699,24,8,6,12
"anger",32.88,53.012,0.040165827142525,0.382806314907093,0.553665847169367,24,8,6,12
"bio",19.019,30.19,0.138378868172531,0.386494340466175,0.456512607563338,20,12,6,8
"work",45.773,71.664,0.013437759607257,0.389766427957117,0.657082155007824,16,4,8,24
"relativ",17.983,28.144,0.034040406247138,0.389858434322631,0.298725892456685,24,20,6,4
"Dic",30.311,46.42,0.023700282174173,0.395029388382792,0.30328894047488,24,24,6,4
"risk",48.39,73.911,0.03417901049645,0.395663158927564,0.466080574437807,20,12,6,8
"auxverb",23.928,35.655,0.057214708094399,0.401591057852072,0.472239079915333,20,12,6,8
"verb",46.842,69.689,0.056535921789965,0.401970291167157,0.309442413072129,20,20,6,4
"friend",19.856,29.528,0.11238758151684,0.402073546087802,0.402073546087802,20,16,6,6
"we",23.169,34.024,0.014499004643967,0.40510202297484,0.40510202297484,24,16,6,6
"drives",32.699,47.199,0.029913845367397,0.409259305614659,0.409259305614659,20,16,6,6
"social",13.327,18.957,0.002954959638734,0.412805104695825,0.319114037713259,20,24,6,4
"adverb",42.56,60.474,0.040875145932225,0.413067531106237,0.513538298180414,16,8,8,12
"Clout",25.217,32.772,0.009445159372956,0.434858335201504,0.277839600709556,16,20,8,4
"focuspresent",40.976,51.484,0.015749756429207,0.443175427211767,0.614167091339668,20,8,6,12
"i",57.908,71.512,0.036396764155051,0.447442435481378,0.764098910088935,20,4,6,24
"money",25.632,30.952,0.014393626397449,0.452990244592111,0.554005763688761,16,8,8,12
"filler",37.426,42.539,0.072056234127932,0.468029763021322,0.305508391562724,16,20,8,4
"focusfuture",66.787,71.706,0.052076467205748,0.482240979688504,0.482240979688504,24,16,6,6
