LIWCcat	birthyear	firstpub	age	r2	delta	bygran	fpgran	agegran
interrog	0.017956699420094376	0.006145648902898958	0.010025313504756295	0.03412766182775018	0.7450186670385107	29	17	11
number	0.015049132798987473	0.0016098744971985758	0.006033753410169253	0.022692760706357284	0.9033631195078987	15	50	50
quant	0.014110537258787732	0.007524183345928997	0.01724568616015745	0.038880406764875475	0.6522172167876945	50	11	21
affect	0.05616597848342334	0.05615113364643931	0.0008562687948429526	0.11317338092470808	0.5000660844848239	9	5	17
posemo	0.08651132696383086	0.07073021749303861	0.008808233990282676	0.1660497784471563	0.5501811067975134	11	13	21
negemo	0.003210886813439198	0.008006574315145478	0.008196416430266463	0.019413877558850157	0.2862400659679683	17	45	7
anx	0.0026469673258908977	0.010266544740039208	0.0022723735308326494	0.015185885596762483	0.20497656349231497	40	45	15
anger	0.01954723379333372	0.013531367142722373	0.007959470408177663	0.041038071344231764	0.5909329064769178	21	35	5
sad	0.034509439327680955	0.06273513658561546	0.002228563870338287	0.09947313978363415	0.3548726394616568	29	9	35
social	0.00118075009219635	0.0035499438073230273	0.004179323336342613	0.008910017235865264	0.24959342482850355	29	35	2
family	0.00135070675860946	0.002252819245709116	0.007046432013648615	0.01064995801796409	0.3748291970116857	50	13	15
friend	0.05694575519136761	0.04636684317813352	0.00975053809791842	0.11306313646742128	0.5511985574856914	15	13	11
female	0.0039030668293183767	0.010261258851881784	0.0010067850372627227	0.015171110718462666	0.27555613427462966	21	15	25
male	0.006207158129211974	0.006127501403902241	0.0027980981872550263	0.015132757720371814	0.5032289794905114	13	13	21
cogproc	0.003182456905705376	0.0028278145867090382	0.022199301968150547	0.028209573460567627	0.5295030199088289	50	29	17
insight	0.00017427375794776677	0.0018037367326684554	0.006199365106626276	0.0081773755972393	0.08810557819310359	50	29	21
cause	0.01239402330902732	0.017296675583412757	0.007033295144652093	0.036723994037094254	0.41743791057013885	29	9	9
discrep	0.0004771349580365704	0.0055280820922441985	0.02373614636585267	0.029741363416132538	0.07945340760235507	45	11	13
tentat	0.0008920382052425858	0.0015298864055765507	0.029646048388480884	0.03206797299930075	0.3683179076911412	40	50	17
certain	0.012550774773025325	0.0025519393115539988	0.006260928825097162	0.021363642909677072	0.8310277677732332	35	40	17
differ	0.007272969687646964	0.0034435360926561506	0.012903153893499844	0.023619659673803528	0.6786698795996217	45	29	29
percept	0.0635111474841855	0.030633796863471258	0.042225064033559113	0.1363700083812147	0.6746102823073821	13	15	4
see	0.015239799050282993	0.0038445456097674427	0.0296702094204452	0.048754554080498114	0.7985497705972954	29	15	11
hear	0.06095134383511269	0.041378593304717964	0.006221696311774448	0.10855163345160401	0.5956355054906814	13	5	21
feel	0.04010013653978205	0.015161898806248611	0.05196301061363753	0.10722504595967008	0.7256362580330177	29	21	4
bio	0.06016195866535046	0.027201514695063933	0.054433925321506725	0.14179739868192154	0.688639729525803	25	11	3
body	0.03712070779922826	0.013496623926814949	0.06539197958204963	0.116009311308091	0.7333596326281502	40	11	5
health	0.012334959291059648	0.005362749924287539	0.006456380345285163	0.024154089560633807	0.6969805606458352	25	11	13
sexual	0.04369073346298902	0.06327813971236866	0.002592040078672448	0.10956091325402906	0.40844343000010225	21	5	35
ingest	0.045179413889621045	0.03218386518420651	0.005547299410792186	0.08291057848461925	0.5839904206555988	13	9	9
drives	0.010823298345882656	0.006977146568307384	0.011499386256758365	0.02929983117094992	0.6080352709192459	21	15	11
affiliation	0.013379713939049553	0.00421868617295583	0.012524974775732172	0.03012337488773764	0.7602801308013276	21	17	5
achieve	0.005415887460154979	0.011304950600608881	0.003762896511347159	0.020483734572117274	0.3239004791789464	21	7	11
power	0.0012984039845127093	0.007229016366647138	0.00014422660611649753	0.008671646957278734	0.15226222363203992	35	13	35
reward	0.0059043114197426	0.009248344204933133	0.0003608562339620258	0.01551351185863803	0.3896552238755807	50	5	45
