depvar	delta	adjdelta	delta_oos	cmse	pmse	cmse_oos	pmse_oos	totalr2	r2_oos	bydf	fpdf
Analytic	0.6775143034831974	0.7210631574535082	0.5373808996897165	33.082	14.943000000000001	0.008605144056524799	0.0075917413018286	0.03277417159071143	0.014831077295750079	4.8	6.2
Clout	0.46312547936916737	0.4257780208141234	0.34930553947270504	29.558	35.574	0.012745457528740239	0.024844397190437524	0.02032758849012834	0.007741111974111941	4.8	4.2
Authentic	0.08524995351699499	0.07512338738704125	0.042441774344192905	4.2658000000000005	50.8382	0.00219956195083784	0.053804560961813394	0.027806098806895958	0.016090988365910178	4.2	4.8
Tone	0.6868601179545938	0.7897033723875835	0.6692124171787416	60.55799999999999	25.348399999999998	0.15433382008336766	0.04510539265557106	0.1447783730714198	0.12336103879220721	7.4	13.6
WPS	0.616288760569222	0.5422107055657686	0.4352412113859782	30.313200000000002	16.506400000000003	0.01505447828246336	0.01832901204349944	0.009945688782633	0.000478625986840852	7.6	4.8
Sixltr	0.44169614150224845	0.6596334146198284	0.45264130008965775	60.2992	82.758	0.04088372478804232	0.05043379526014432	0.033851843696757825	0.01070201534220184	5.6	16.8
Dic	0.456790689954378	0.4438585903289554	0.42193412441431544	30.130199999999995	34.3442	0.0172330538088509	0.024098866686726415	0.032573240448486994	0.017033642487837723	4.6	4.6
was_function	0.41471258680707945	0.4266917753932432	0.30998184190551614	29.0046	43.0754	0.016449686699418358	0.04245388053371526	0.02303594626267788	0.00449319212515448	4.4	5.4
pronoun	0.4902808435377672	0.5300862362492367	0.5116325754427372	44.187400000000004	46.8648	0.023004233552579797	0.02209563718196468	0.016222354135264377	0.0018257892588261272	4.0	5.2
ppron	0.42446354452925406	0.5524265993055042	0.5258276664810542	46.1078	62.861000000000004	0.03669672882527008	0.03326594682715684	0.01833590345510088	0.0032280789545248998	4.0	7.4
i	0.5615351766275062	0.6538912957681329	0.6014889913770533	61.5504	49.188	0.0365978306653727	0.024601677203533644	0.046458004839781554	0.03315234514795436	6.0	12.2
we	0.43512080416165466	0.3773343374112364	0.17749935665554945	21.575	28.599400000000003	0.005786428201331339	0.024605349415621	0.02009766219852696	0.00967559716733526	6.0	4.8
you	0.8395054478360076	0.7861829229511188	0.5369890282281989	94.7456	18.7974	0.04560467309390774	0.042758741558842885	0.020593460428217258	0.00408866547629594	5.6	3.8
shehe	0.14574477143035963	0.13887470942064517	0.08055885356122307	12.9372	78.64280000000001	0.004521687507044301	0.05002540018753136	0.02082979935224456	0.00749948131273884	4.4	4.2
they	0.4730120472607541	0.46089435415696123	0.33409278415588817	30.6034	31.773000000000003	0.017492595807062382	0.02132281416124374	0.023978047998171742	0.00538762208462946	6.6	6.6
ipron	0.8813954138394342	0.8820501956297718	0.7908775533139473	82.88660000000002	10.705	0.026550331902035224	0.00936441915403672	0.034968585934210684	0.01708884787380292	5.0	5.0
article	0.4102292537731156	0.5709034222674011	0.15040515295276644	18.281399999999998	27.6712	0.0056186545623555795	0.036196720299468944	0.0279620125933487	0.01310897297434042	4.0	8.6
prep	0.6384482715592582	0.6828998089979832	0.7040064085876374	44.588800000000006	25.5798	0.03884967824640483	0.014624124794806539	0.06746705646577555	0.04999787080498806	5.0	8.4
auxverb	0.5897482429283453	0.5514880387517638	0.6484956721151922	31.033200000000004	21.3808	0.07229228788009856	0.0406651776111494	0.06980902997114546	0.04731810890163858	6.8	5.6
adverb	0.3308335071403462	0.5027840442471874	0.26137648448191025	37.882799999999996	83.89959999999999	0.03784020562571736	0.1562841248010532	0.0566846157273046	0.03675930453585594	5.6	14.4
conj	0.7354773474580638	0.706706954403054	0.7170210905306089	73.4836	26.163	0.0273606659066291	0.01125142455948848	0.04020026276037485	0.020211152787980257	7.4	6.6
negate	0.463353415364874	0.509420508822785	0.6426388007676156	26.300599999999996	35.0124	0.048674824825784516	0.05929393919832522	0.04030420555098928	0.02243546201107522	5.8	8.8
verb	0.5413414616444554	0.5924336050893115	0.5132952828049825	71.86580000000001	61.3716	0.050427974055187196	0.047081165044265814	0.0734871046594047	0.0570883502413901	5.0	6.8
adj	0.779787942579475	0.8298787610173706	0.7409082213201923	62.2096	17.395599999999998	0.03475288305450612	0.01168052582436906	0.03607422645641214	0.021948358342751897	4.0	6.0
compare	0.7917854959909597	0.8292244176034294	0.5109487178537208	30.7922	8.6926	0.0111574910904169	0.0097459803567005	0.01506282355546138	-0.003914362754890139	4.2	5.0
interrog	0.7733899885030974	0.8007386364947943	0.7571092017864973	79.68939999999999	23.029	0.028921855894155656	0.009308174356232459	0.0470200450660804	0.02651462493884648	5.0	5.8
number	0.7616166018524604	0.619218366682469	0.629951062847151	107.26020000000001	35.0796	0.048611873957159955	0.03389028917651804	0.02863901386823344	0.01188245764595776	8.6	4.4
