depvar	delta	adjdelta	delta_oos	cmse	pmse	cmse_oos	pmse_oos	totalr2	r2_oos	bydf	fpdf
quant	0.537449103408015	0.6466819012312973	0.6126168605229287	25.0342	22.931400000000004	0.025003151502968203	0.01306505477718756	0.045644657042479234	0.02875305631494532	4.6	9.2
affect	0.5960449538268816	0.46124717803729	0.45428196905900337	49.235200000000006	32.9732	0.0629274647988765	0.08066002961543169	0.11931162119936238	0.10218778631713366	7.4	3.8
posemo	0.9320454153457927	0.8572868190719145	0.9731937421222019	115.2172	8.3732	0.30457993066864403	0.007697345658120899	0.1833858586563142	0.1587929410538004	11.0	4.4
negemo	0.3987419072335373	0.5459512644292238	0.518576444832345	23.677599999999998	40.1442	0.033796121165291716	0.05286650832856425	0.028419524655034854	0.012733133199752	4.6	9.2
anx	0.2718340391243806	0.309169544958639	0.17435129677735262	6.713799999999999	22.876600000000003	0.00361642535260114	0.014865677492137899	0.02060731580004932	0.00413263450306528	4.4	7.0
anger	0.5025820139293897	0.7087031434140413	0.6421211502080719	38.0606	48.358999999999995	0.06852949702225308	0.07256589704562677	0.05604133838307136	0.038752961773119175	4.6	14.0
sad	0.28457064348079164	0.24544994822311658	0.14183510127541568	21.314599999999995	58.7024	0.022065275260471178	0.16399341904136755	0.10602249706607	0.09172093580356418	7.2	8.2
social	0.5410666333665567	0.5659261544912233	0.46285839572224574	30.071800000000003	26.5084	0.02078509345848078	0.023467028255069085	0.01589155679700912	0.00059567162414234	5.0	6.4
family	0.5704076507524103	0.6052284994911157	0.5334072234918802	33.5848	24.050600000000003	0.0339949949450738	0.032108706682853976	0.02006348435831396	0.00506893749752744	5.4	5.8
friend	0.6622036552953302	0.6154414329399058	0.627282673904182	45.407	21.2474	0.09568571529361662	0.04529922747688322	0.1184293792321182	0.1031052709864948	7.4	5.8
female	0.359725419480882	0.4417683579714291	0.2229157307912068	29.2466	56.902	0.018318088469787618	0.059138181860085834	0.022322353245109422	0.0035725100083412995	4.4	8.8
male	0.4362482471191506	0.4469027489877564	0.3215114024332578	24.9402	34.629400000000004	0.019456647055426178	0.03714067751210946	0.02200568551003112	0.007757172203014399	4.6	5.0
cogproc	0.7366331513005512	0.7343050756752956	0.3224240514841424	31.9822	10.747399999999999	0.0096238833562834	0.01636428250930484	0.04161568275857648	0.02247917595645228	6.6	6.2
insight	0.6585603113535173	0.719449331813017	0.249109012622436	32.541399999999996	17.811	0.007429813338440799	0.02156447060066158	0.021011624662937302	0.0017184112781751398	5.0	7.0
cause	0.5330704021639943	0.6477309137951173	0.31777669419971677	62.309799999999996	53.580999999999996	0.03178264865584039	0.07420668264813327	0.06292396115710516	0.03897980816058856	7.0	11.6
discrep	0.4495112911191332	0.4116617832235834	0.2899381679319118	23.3354	27.615199999999998	0.00774124417688548	0.019127363574111482	0.039362875562673774	0.025387770375676678	4.2	4.0
tentat	0.45934618497839663	0.4690494194678558	0.2552962768795136	21.1986	26.6344	0.022411167465063577	0.05280319123445354	0.04679260331967232	0.030430921279956558	5.2	6.6
certain	0.9210196035513321	0.8943712619747242	0.9020999501971106	60.5554	4.4878	0.06790453280907045	0.00835471732034216	0.04415817569439005	0.02227835837777826	7.4	4.4
differ	0.404187647112532	0.41118879191240226	0.3360398686160856	22.2446	31.6322	0.0241667292532112	0.03143081940900546	0.038497356465933656	0.0220725317474135	4.6	5.0
percept	0.7935463809699951	0.7391281876605466	0.7733972358216064	107.7722	26.350600000000004	0.22632512807359045	0.04455291764345558	0.152614737775341	0.1335473080467558	9.8	7.2
see	0.6240093080597422	0.6784239140777745	0.4317796144289511	54.6822	33.68599999999999	0.02070869019074616	0.03031281741654666	0.06051693109212022	0.04436979190847438	5.0	6.8
hear	0.6711729496444583	0.7350006828192119	0.6690089959654439	120.4272	59.274800000000006	0.08550639386029481	0.04183188222689201	0.1180355242571258	0.10100443492284714	5.0	9.4
feel	0.5711569813842384	0.6703197552840938	0.3521189443128699	42.528	33.9724	0.02843341594542768	0.058325280367294376	0.12010266073866241	0.1046979015964814	5.0	8.6
bio	0.48018754684915804	0.6449414891978803	0.24897871675603378	29.511000000000003	32.155199999999994	0.02256804955151298	0.07535559241897848	0.1518263372582038	0.1352909891007046	4.8	11.6
body	0.46339972077185293	0.610261590944817	0.32904514269360874	22.4404	27.6798	0.01462762730570272	0.040056278168431644	0.1286823226045534	0.11156102132972241	4.8	11.2
health	0.5547991984757172	0.43387197524625265	0.4692457671122628	33.5146	23.1044	0.03489033607197116	0.03871115657480347	0.03299435679591114	0.019002865941075562	8.6	4.8
sexual	0.16503425270416788	0.24136717430239418	0.3761639537133129	28.4164	150.62	0.05415899769289136	0.09711834905032349	0.11494643118308201	0.10241041951198379	5.4	9.6
ingest	0.6865582167616392	0.5987338702581178	0.6669494650771156	63.4908	23.9034	0.06579401682960295	0.0298532466294411	0.09082092437611668	0.07524894758012027	8.8	4.4
drives	0.46135786732934514	0.5002618952461801	0.43174106119993827	32.5024	39.5082	0.01479665519730442	0.02294754281048792	0.04009227216992698	0.0267750171459345	5.0	6.6
affiliation	0.530072531333661	0.587654835020657	0.468215501033863	34.874	33.8262	0.025245903522057345	0.030925327532331216	0.038752440574935224	0.0262345111124974	6.0	9.2
achieve	0.24809517219160537	0.491140213631586	0.22270602153564917	26.149400000000004	78.0584	0.044502665208189955	0.06017333856764332	0.03746324411634798	0.01694895358990546	6.0	18.4
power	0.191914830618646	0.3291744905670624	0.1300537273764733	14.413599999999999	61.428200000000004	0.0091788535397337	0.05823410261351873	0.018873936302031002	0.0033475209724126197	4.8	10.0
reward	0.45644282968086924	0.481848963156673	0.460534621809939	43.0912	51.959199999999996	0.02932584906944874	0.03095287572717444	0.0315839491164151	0.01218155267239468	7.2	10.0
risk	0.396563944738629	0.5288533715320178	0.45144856832276564	43.3342	62.010000000000005	0.03389902803336752	0.03948392268322774	0.05061511336302819	0.0268776675654257	5.6	9.6
focuspast	0.6229069167723041	0.6416037064390009	0.7972514779278326	77.3858	46.605799999999995	0.09651320543798678	0.02392279739175644	0.07049112527909555	0.05785735394563574	5.0	6.2
focuspresent	0.8056893668533307	0.8119432913332467	0.5735044804444662	109.62719999999999	27.238400000000002	0.04067078744668769	0.03019768075008522	0.03598336170230694	0.02011536534120436	5.0	5.6
focusfuture	0.6096654807272067	0.5763492823329591	0.6915102198292564	121.47259999999999	78.67280000000001	0.4263956325625874	0.20030630351557396	0.07412224710371355	0.04611377190101854	11.0	11.8
relativ	0.48289649641198623	0.3858798624286288	0.08856303794658096	23.0928	24.886000000000003	0.00264333494961532	0.02785553320038358	0.04646184776806842	0.030265589206631898	5.0	3.4
motion	0.511556100498713	0.5504852071883047	0.21532188922753118	27.6916	27.246199999999998	0.00483953139369716	0.024490399619525198	0.044898639499599144	0.028061355200661144	5.6	7.0
space	0.5583591396394485	0.5482274029892414	0.42061402857548214	39.2356	32.4114	0.0635382999944539	0.06257178328059	0.08047681560337314	0.060365950505293295	7.4	7.4
time	0.6002077196629163	0.5459165904641099	0.3862183421123064	40.5844	25.0062	0.01644499209993448	0.026695203082654682	0.016415028952990598	-0.0021705508708699	7.2	5.8
work	0.6542330983311502	0.6850183367723196	0.34800105586877417	52.9014	30.6122	0.035009887160746656	0.0650121508800511	0.027414619913784122	0.01315630670053226	5.0	8.0
leisure	0.7048024132161322	0.6776755630945418	0.5740582760784549	32.3992	12.3464	0.05964367998317675	0.040534125531111	0.08178504395986866	0.06544377736588367	7.2	5.4
home	0.3422382536833064	0.3700425805803364	0.5289973135573218	43.880399999999995	82.724	0.07255463709908663	0.06086316139576411	0.041444780390081634	0.0262908821677433	4.2	4.8
money	0.4167649195454647	0.4070963615802411	0.3423736282557486	20.5614	23.8144	0.03677573068592778	0.04320633650190212	0.02111571875168486	0.00759175438062214	6.2	5.8
relig	0.28363099208788717	0.44821583207088544	0.3096953655982661	27.5294	67.7574	0.051553384468996544	0.09273334509885611	0.01785104390044642	0.0034535535805783196	4.2	11.2
death	0.447479813874638	0.5262502275411062	0.672311392106011	24.7024	35.016	0.06753178349659295	0.02512054370068026	0.02385744677941034	0.00604719092388892	6.2	10.4
informal	0.630164380338291	0.5567267387722664	0.6913796709828779	83.127	50.4964	0.06679877882765037	0.031067630157447602	0.03303904068548386	0.01360014636205352	8.0	6.8
swear	0.4474115693525542	0.4761233002561195	0.5064982897983755	47.8236	60.238	0.11583017855345971	0.11553058300968436	0.21643039737463102	0.20226760856678538	7.0	7.8
netspeak	0.4263389448364422	0.41177534987945075	0.3169037679677906	15.564200000000003	14.754200000000003	0.0112802832478582	0.02756087480381142	0.02024085252441478	0.00863553276680444	5.6	5.6
assent	0.5310167335370177	0.6115855885781002	0.541971455429641	44.781	36.10719999999999	0.044582680325311194	0.02292567139587038	0.021518228675269122	0.00275104842885536	6.6	9.6
nonflu	0.5159112112416946	0.5619824485157006	0.4439347751763342	47.324	47.8876	0.0545983862732473	0.09270813139058864	0.03056536962486498	0.01139924391229294	5.4	8.8
filler	0.540946116455534	0.4223369453796706	0.5848778823708433	45.4412	35.588	0.06149913415661418	0.0381230930273841	0.08261178645542358	0.0656897660445643	7.2	3.8
