depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos
Analytic,35.497,10.925,0.032849010893046,0.764658997888932,0.795876042106522,by_20,fp_16,5,6,0.000237646549726367,0.0173098733540675,0.986456972208649,0.0206055958844557
Clout,20.184,52.083,0.0195134004780534,0.279297604715845,0.279297604715845,by_24,fp_20,4,4,0.0533235776213018,0.0309975457504397,0.367613054842529,0.0111012269938468
Authentic,3.384,51.667,0.0270066955247994,0.0614702730195637,0.0468222488700304,by_24,fp_24,4,3,0.0411269005469011,1e-08,2.43149798198335e-07,0.0194367488683113
Tone,37.43,32.252,0.141301166196312,0.537154501879969,0.735821237836244,by_20,fp_8,5,12,0.088580297620241,0.0350896252914863,0.283736129734086,0.129446400333403
WPS,29.526,23.537,0.0104219573354411,0.556432919360006,0.600852662960714,by_20,fp_16,5,6,0.0446775959905748,0.0317458187114995,0.415393879418448,0.00264767916178077
Sixltr,57.777,98.794,0.0375535741672704,0.36901469620811,0.737336343691276,by_20,fp_4,5,24,0.0663962912079505,0.0491747182541285,0.42549354274061,0.0172778679044617
Dic,36.758,42.91,0.0360719443842557,0.461389767535271,0.672765486253253,by_20,fp_8,5,12,0.0305359532151774,0.025932045012521,0.459234359751059,0.0209496275597446
was_function,36.635,63.363,0.0254307493108885,0.366357327146543,0.634306392409447,by_24,fp_8,4,12,0.0766343263252249,0.0265355557885716,0.257202540556389,0.00965686137772374
pronoun,50.054,60.466,0.0186633928312137,0.452895403546869,0.712925157149097,by_24,fp_8,4,12,0.0339619867464537,0.0385706479589526,0.531769569871666,0.00469272211665345
ppron,51.98,59.911,0.0178064850097681,0.464559258564138,0.565487630638014,by_24,fp_16,4,6,0.0466185514556512,0.035676634346372,0.433520308614394,0.00587367115354743
i,104.717,27.857,0.0483671505305336,0.78987584292546,0.506223230601149,by_12,fp_24,11,3,0.0177730532969823,0.052143621189643,0.745796643969642,0.0358059228557725
we,20.592,31.273,0.020763644936361,0.397030752916225,0.44138798286635,by_20,fp_16,5,6,0.021549012476994,0.00851884969002861,0.283320764300024,0.0153997546567854
you,103.059,23.988,0.0223192526909952,0.811187985548655,0.774623432849283,by_20,fp_20,5,4,0.0420294714208465,0.0618540320535994,0.595417270161809,0.0100596717805963
shehe,19.902,114.01,0.0244586473074086,0.148619989246669,0.343698910866011,by_24,fp_8,4,12,0.0652208868608369,0.00737976449153092,0.101648736671978,0.0109917803391492
they,49.666,9.501,0.0227503886587994,0.839420622982406,0.662195674782006,by_16,fp_24,8,3,0.00771948521754858,0.00787557972049396,0.505004612150239,0.0134439175182293
ipron,92.081,6.817,0.0342708550559782,0.931070395761289,0.890164600036091,by_20,fp_24,5,3,0.0176812192022818,0.0240025254217585,0.575824596332343,0.0229782963290545
article,43.833,2.632,0.0289460788231537,0.943355213601636,0.925873249452569,by_16,fp_16,8,6,0.0136884927664018,0.128286381132091,0.903585103543119,0.0253987451403871
prep,40.649,27.566,0.0678234613839951,0.595895330938943,0.638927602141862,by_20,fp_16,5,6,0.0223742516517514,0.0287148935708316,0.56205468785449,0.0544306146432051
auxverb,60.724,62.247,0.0801841357085272,0.493807483065113,0.680351413313988,by_12,fp_4,11,24,0.350403920790959,0.524928581015485,0.599690494677369,0.0528647386972496
adverb,34.232,94.361,0.0570468704291851,0.26620422573546,0.465430681778268,by_20,fp_8,5,12,0.182064731617825,0.0256876389605421,0.123645467385184,0.0405907685724576
conj,69.338,15.093,0.0353708098393725,0.821238644573675,0.786107245399173,by_20,fp_20,5,4,0.00656127190433872,0.0440438375009359,0.87034368700219,0.0258260928330529
negate,49.993,16.839,0.0434678646633681,0.748039861144362,0.519136762365622,by_12,fp_20,11,4,0.00794631081990175,0.0376839837681017,0.825854492247988,0.0285834488387793
verb,83.129,37.039,0.0691202571919022,0.691773184208774,0.573854876640082,by_20,fp_24,5,3,0.0295229863907624,0.0502141790279006,0.629746226420881,0.0591746939625549
adj,56.869,18.083,0.0361976953341565,0.758738926246131,0.825093218166782,by_24,fp_16,4,6,0.00867850017855197,0.034530318018247,0.79914979069724,0.024364462252016
compare,27.782,9.708,0.0150143056937924,0.741050946919178,0.811058562503649,by_24,fp_16,4,6,0.0144587807602144,0.0159347482280095,0.524280949217298,0.00338100012981254
interrog,73.978,27.352,0.0477958228620486,0.730070068094345,0.7644619274303,by_20,fp_16,5,6,0.0129502109982978,0.021000030233571,0.618553196430854,0.0340252207977842
number,110.692,24.047,0.0267685863328397,0.821529030199126,0.63318664053145,by_16,fp_24,8,3,0.0123048911279491,0.0428819973193726,0.777032344563245,0.0137520367921749
quant,20.954,26.29,0.0476143838194239,0.443527220387774,0.560488427922777,by_20,fp_12,5,8,0.0147053984756655,0.00442205509346242,0.231188907476932,0.0373280098525936
affect,31.134,100.335,0.125734876302844,0.236816283686649,0.598303614967199,by_20,fp_4,5,24,0.361504451779145,0.0379101561028535,0.0949142954582511,0.107593559043102
posemo,107.996,14.998,0.184574783075801,0.878059092313446,0.797063548491059,by_12,fp_16,11,6,0.00307425770286799,0.364847161183545,0.991644254601505,0.160789474307527
negemo,32.291,35.805,0.0274455760828269,0.474198190789474,0.41910645740114,by_20,fp_20,5,4,0.064703328007996,0.0212160502105347,0.246929745657294,0.0177134184290856
anx,11.635,16.992,0.0196376167086223,0.406434484926817,0.353916349809886,by_20,fp_20,5,4,0.0104486988493501,0.000813101355128909,0.0721999449790916,0.00826067704871819
anger,38.301,27.98,0.0563979004410305,0.577857907997767,0.766643536743218,by_20,fp_8,5,12,0.00582861025002005,0.0932767194632401,0.941187721519278,0.047017928771778
sad,15.452,117.912,0.11214420181259,0.115863351429171,0.386135892245796,by_20,fp_4,5,24,0.385287437193769,0.03865234220466,0.0911741338817217,0.0988880053561267
social,10.828,43.222,0.0126270046289386,0.200333024976873,0.200333024976873,by_24,fp_20,4,4,0.0375388100566051,0.0120133651589811,0.242438704390164,0.00251788057732549
family,17.313,11.54,0.0168653389561753,0.600041590129276,0.54549751087025,by_20,fp_20,5,4,0.00543473895075062,0.0041085459090776,0.430516951911625,0.00966782360902946
friend,18.872,38.995,0.118027147226428,0.326127153645428,0.367389449298686,by_20,fp_16,5,6,0.106166459511815,0.0215706882475993,0.168867777510004,0.10951755180978
female,28.768,41.24,0.022050116950502,0.41092446577534,0.45566091529218,by_20,fp_16,5,6,0.0205839273158538,0.000144616517967466,0.00697668486155339,0.00772550924756994
male,33.716,10.38,0.0200956665968838,0.764604499274311,0.660890700956563,by_20,fp_24,5,3,0.0119808326902982,0.00953257634754694,0.443099293597672,0.0131631721583113
cogproc,28.268,12.005,0.0383728673258364,0.701909467881707,0.638468951394326,by_24,fp_24,4,3,0.0295344696130944,0.0117920587383089,0.285338720882623,0.027648798416284
insight,34.415,5.95,0.0188829085494021,0.852595069986374,0.776307379976691,by_20,fp_24,5,3,0.0165950900940491,0.0113539298665502,0.406237137565334,0.00954704629983916
cause,65.08,30.047,0.0583479201568327,0.684138047031863,0.634068517007465,by_20,fp_20,5,4,0.0283336674094516,0.0230417042885432,0.448497081909045,0.0472755042816818
discrep,26.575,26.48,0.0393134950378378,0.500895297332956,0.429448678930216,by_24,fp_24,4,3,0.010279674754777,0.0143247390498463,0.582202005038407,0.029431705778186
tentat,16.056,29.589,0.0446957584565984,0.351758133420966,0.289255602795993,by_24,fp_24,4,3,0.0628346019623275,0.0202427842502128,0.243661785391572,0.0340069223215882
certain,83.982,5.696,0.0496005562765774,0.936483864492964,0.889407428849806,by_12,fp_16,11,6,0.0303720903000054,0.147754152191296,0.829491208733667,0.0288628949078718
differ,23.314,51.604,0.0420561963939829,0.311193571638325,0.575436460270186,by_24,fp_8,4,12,0.0635908744810713,0.0778255777288378,0.550329021218258,0.0312166675818481
percept,64.023,41.153,0.148881825539315,0.608722522248422,0.788751192198275,by_20,fp_8,5,12,0.103926548126102,0.0276077857119994,0.209890337423082,0.133473534534159
see,63.7,12.647,0.0567409946243776,0.834348435432957,0.751371222993296,by_20,fp_24,5,3,0.00719688836615565,0.0198272470847535,0.73368663803402,0.048936660344253
hear,114.652,55.87,0.117424387124271,0.672358991801644,0.766540249346881,by_20,fp_12,5,8,0.0451452662269162,0.0573536706847242,0.559553810145037,0.104606353370777
feel,41.68,29.052,0.119219534818595,0.589266527172991,0.696553164821391,by_20,fp_12,5,8,0.0270430033668744,0.0309407029600045,0.533610300548546,0.107467018685089
bio,35.921,26.731,0.151941134924797,0.573341633148184,0.682547034247535,by_20,fp_12,5,8,0.0445085220340115,0.0261139036975206,0.369767866609276,0.138106008153974
body,26.973,27.263,0.129908000107935,0.497326499004351,0.612850363108103,by_20,fp_12,5,8,0.0340673090738283,0.0189360107816821,0.357260843911335,0.115055762272135
health,8.003,23.958,0.0299067126775306,0.250398923688245,0.333806047966632,by_24,fp_16,4,6,0.0113273666186519,0.00743946236007126,0.396415524887327,0.0231772219941261
sexual,20.61,170.154,0.119369355838881,0.108039252689187,0.266527001862197,by_16,fp_4,8,24,0.121036238009307,0.0351037367290427,0.224822226261196,0.115013000020146
ingest,37.527,30.503,0.0864736997311879,0.55162428340438,0.55162428340438,by_24,fp_20,4,4,0.0370850487237572,0.047916764753002,0.563714617289938,0.0801765044464506
drives,30.679,48.513,0.0417083164015405,0.387400242448732,0.431451414427654,by_20,fp_16,5,6,0.0362685370608995,0.013305850117557,0.26840170650338,0.0310246802994297
affiliation,35.844,17.207,0.0372291004429345,0.675651731352849,0.624974390940278,by_20,fp_20,5,4,0.00981037419230752,0.022294495974047,0.694427227349804,0.0304741163462925
achieve,23.122,88.979,0.0390403160654895,0.20626042586596,0.555026239644417,by_20,fp_4,5,24,0.0507570626634728,1e-08,1.97016878146255e-07,0.0218265661950403
power,19.419,42.514,0.0184799799184427,0.313548512101787,0.354055499507724,by_20,fp_16,5,6,0.0262459612327237,1e-08,3.81010857298049e-07,0.00869449377632387
reward,21.67,53.16,0.0249499850762116,0.289589736736603,0.289589736736603,by_24,fp_20,4,4,0.0235251735055955,0.0274161015443914,0.538190328323917,0.0152954617764634
risk,37.829,55.319,0.0472193051456211,0.406117146905999,0.406117146905999,by_24,fp_20,4,4,0.0314579893471012,0.0396711274297193,0.557734008622574,0.0310866683615141
focuspast,75.519,42.579,0.0697683732541563,0.639460448102423,0.680342157538412,by_20,fp_16,5,6,0.0138142971311983,0.084880182829238,0.860029688218266,0.0604329731047095
focuspresent,111.052,21.136,0.0348881514265592,0.840106514963537,0.807815409683426,by_20,fp_20,5,4,0.0276058086556807,0.0465914526519158,0.627940328670132,0.0242577995548372
focusfuture,120.925,74.158,0.0733119493645891,0.619864365423948,0.542526714141025,by_12,fp_12,11,8,0.178809762704834,0.39180077561325,0.686634314129758,0.0505298096602611
relativ,22.143,28.387,0.047090226223416,0.438214921828617,0.384248634531706,by_20,fp_20,5,4,0.028914901219203,0.00433768065188705,0.130446431759883,0.0375436886874826
motion,31.24,19.675,0.0442409114143733,0.613571639006187,0.559518212550652,by_20,fp_20,5,4,0.01207109752907,0.0231291717424427,0.657073716227533,0.0368651913364032
space,31.594,26.033,0.0765487332027622,0.548249952279314,0.421352585275643,by_20,fp_24,5,3,0.0478360727604133,0.00869467308481855,0.153804322848005,0.0675643492912139
time,48.749,25.602,0.0177731338411637,0.655660313916424,0.58815225915425,by_16,fp_16,8,6,0.0150066573665817,0.00949686259078216,0.387571361474055,0.00411628988546464
work,51.982,43.404,0.0297103354142289,0.544964669867696,0.741889905376283,by_20,fp_8,5,12,0.0488799036463718,0.0284382949617618,0.367808555730761,0.0179208397268636
leisure,6.038,34.092,0.0797902098683334,0.150461001744331,0.298275947241022,by_20,fp_8,5,12,0.134555648811232,1e-08,7.43186878080614e-08,0.0712520369751714
home,57.803,84.454,0.0430969149282895,0.406327983860197,0.577856643007098,by_24,fp_12,4,8,0.0661672507254988,0.129909198855,0.662543610581168,0.0307189025362248
money,50.862,23.513,0.027393898971577,0.683858823529412,0.440276915153076,by_12,fp_20,11,4,0.0529769370355252,0.126417659397226,0.704690452839897,0.00965611776744028
relig,23.333,47.077,0.014048884436244,0.331387586990484,0.426425347084732,by_24,fp_16,4,6,0.0869107251585644,0.0464463599849585,0.348285656776103,0.00593508910942939
death,27.574,12.596,0.0196259936230203,0.686432661189943,0.636533622659803,by_20,fp_20,5,4,0.00429237978266594,0.0258229977713456,0.857468837142499,0.0117349341736447
informal,44.49,54.343,0.0270544178288753,0.450153288881244,0.567081185721,by_20,fp_12,5,8,0.0153834882251497,0.0215276030806337,0.583228572200483,0.0197077889367392
