depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos
Analytic,35.497,10.925,0.032849010893046,0.764658997888932,0.795876042106522,by_20,fp_16,5,6,0.000144494820118579,0.0167447169639103,0.991444549220751,0.0161269958105938
Clout,31.131,36.723,0.0214781099765652,0.458793880979751,0.404116324126449,by_20,fp_20,5,4,0.0237449535972453,0.00431451980308029,0.153763391832943,0.00909313135911083
Authentic,2.043,56.28,0.0278346071080544,0.0350290622910344,0.0516391577989536,by_24,fp_16,4,6,0.0622429572661574,0.00205733136792863,0.0319956785829733,0.0130961728343539
Tone,100.385,13.451,0.149717484356765,0.88183878562142,0.802789925240346,by_12,fp_16,11,6,0.00619029628732382,0.28878387323425,0.979014107244156,0.122432730674896
WPS,26.831,15.107,0.00890902091594187,0.639777767180123,0.586922164071771,by_20,fp_20,5,4,0.0209451971659401,0.0170018407026323,0.448041313831064,0.00251638584641689
Sixltr,64.5,47.646,0.0283741590401789,0.575143117008186,0.618972218223694,by_20,fp_16,5,6,0.0323487719702221,0.041269292063102,0.560586489267376,0.00875044465684105
Dic,16.926,39.79,0.0306086661396384,0.298434304252768,0.298434304252768,by_24,fp_20,4,4,0.0374159742224403,0.00747786329316469,0.166567700757713,0.015756668734195
was_function,30.033,49.268,0.0229011377063255,0.378721579803533,0.313746861626,by_24,fp_24,4,3,0.0491120754905577,0.0138493770786626,0.219965971455892,0.00872241154125242
pronoun,41.405,30.324,0.0132537570431083,0.577242119644774,0.577242119644774,by_24,fp_20,4,4,0.0187570191661546,0.0217097959832939,0.536483928945661,-1.56836377631642e-05
ppron,51.98,59.911,0.0178064850097681,0.464559258564138,0.565487630638014,by_24,fp_16,4,6,0.03911224408662,0.0440880244319845,0.529902429607255,0.00819643601503894
i,49.868,48.452,0.0385233173107999,0.50720097640358,0.435639989284009,by_24,fp_24,4,3,0.0284545729799687,0.0359253382746422,0.558020935017509,0.0310579860372183
we,27.764,30.709,0.0213194845127561,0.474817437107725,0.253194878466945,by_16,fp_24,8,3,0.0505006700230981,0.0119086428617736,0.190815157406745,0.0121410287691837
you,89.423,3.839,0.0187032027664098,0.958836396388668,0.933226421395375,by_20,fp_24,5,3,0.0094156826614713,0.0184657816435025,0.66229597705198,0.00123896719378758
shehe,15.59,96.108,0.021245823129316,0.13957277659403,0.195701840275163,by_24,fp_16,4,6,0.0512723752836362,0.00725931339922115,0.124023645354815,0.00743762093197864
they,48.765,24.179,0.0253846746094339,0.668526540908094,0.602009785565262,by_16,fp_16,8,6,0.0204472036469975,0.0612431399852896,0.749698645668128,0.00371919567020618
ipron,92.081,6.817,0.0342708550559782,0.931070395761289,0.890164600036091,by_20,fp_24,5,3,0.0163706259580354,0.0276746608420435,0.628322866136813,0.0192309970194589
article,18.979,23.333,0.0271833976539794,0.448548875023634,0.619307891860143,by_24,fp_12,4,8,0.0321763122210004,0.00704882759710079,0.17970178385057,0.0144553897073989
prep,47.923,20.757,0.0666015208085706,0.697772277227723,0.648754386974282,by_20,fp_20,5,4,0.0100946702696386,0.041980642683081,0.806152479989822,0.0476138211641269
auxverb,52.426,39.601,0.0761199779498946,0.569680637204299,0.490524771964132,by_12,fp_12,11,8,0.121329532581659,0.200429904245283,0.62291849532632,0.0432429063769348
adverb,34.232,94.361,0.0570468704291851,0.26620422573546,0.465430681778268,by_20,fp_8,5,12,0.188659381415742,0.0250331270453523,0.117145552858302,0.0405000319062594
