depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos
feel,40.236,18.698,0.117361351967568,0.682729833372926,0.632556969587398,by_20,fp_20,5,4,0.0238035575884363,0.0277848334231157,0.538586935516053,0.105904676648897
bio,30.931,47.385,0.155647828666319,0.3949512232494,0.75805932792726,by_20,fp_4,5,24,0.102554223741028,0.0150030194111775,0.127623096704919,0.13549579149485
body,24.383,26.927,0.129847628723903,0.475209510816605,0.684866032661487,by_20,fp_8,5,12,0.0541261693768903,0.00311210930953087,0.0543711198336433,0.112547453983781
health,19.816,15.002,0.0282995358648859,0.569130909299787,0.497656040717921,by_24,fp_24,4,3,0.00626348339601279,0.0387401974256497,0.860822864226744,0.0214745655118579
sexual,24.134,155.008,0.116651092515985,0.134719942838642,0.189326862229288,by_16,fp_8,8,12,0.100802432640738,0.0495390296977526,0.329510096065294,0.100292952947633
ingest,37.527,30.503,0.0864736997311879,0.55162428340438,0.55162428340438,by_24,fp_20,4,4,0.0386107656759616,0.0409506955993083,0.51470517186236,0.0749093589153994
drives,30.177,49.45,0.0418766137884217,0.378979491880895,0.594255744419683,by_20,fp_8,5,12,0.0366903879713448,0.00881233720835684,0.193666141391635,0.0242771968104257
affiliation,34.132,23.05,0.0382776987196007,0.596901122730929,0.639891014304373,by_20,fp_16,5,6,0.0127301517532999,0.00958467260258111,0.429520414309471,0.0288393078415056
achieve,25.454,56.507,0.0332125675028488,0.310562340625419,0.418851958277711,by_20,fp_12,5,8,0.0385413170685593,0.00491094195702368,0.113019255319552,0.0146817296624162
power,13.191,67.287,0.0194619972229984,0.163908148810855,0.370325659741718,by_24,fp_8,4,12,0.0659761274931329,0.00952018211552053,0.126101291107735,0.00325071630303608
reward,43.703,57.025,0.0342054676685156,0.433871416090859,0.534791706606733,by_16,fp_8,8,12,0.029926709785676,0.0187073606840763,0.384655458681198,0.0118689363574179
risk,28.864,65.428,0.049033517193377,0.306112925804946,0.569609261939219,by_24,fp_8,4,12,0.037843964960272,0.0421329961286774,0.526814166917615,0.0301100402988206
focuspast,67.334,50.535,0.0711962586042171,0.571261315528256,0.680702650038479,by_20,fp_12,5,8,0.0209429823957286,0.0823806472103676,0.797306942510923,0.0610885234267604
focuspresent,111.052,21.136,0.0348881514265592,0.840106514963537,0.807815409683426,by_20,fp_20,5,4,0.0263126324445918,0.0397816258899369,0.601892310956674,0.021098000790266
focusfuture,120.925,74.158,0.0733119493645891,0.619864365423948,0.542526714141025,by_12,fp_12,11,8,0.184168152136875,0.400132717272325,0.684805959089037,0.0495644283409756
relativ,23.726,22.552,0.0460429287978367,0.512684212800899,0.386967347693244,by_20,fp_24,5,3,0.0286464858239597,1e-08,3.49082835871188e-07,0.0308376962948953
motion,27.499,31.459,0.0463557566376134,0.466416771260898,0.677199902315492,by_20,fp_8,5,12,0.0292546054216263,0.00459493614680662,0.135745890014999,0.0272728165672598
space,43.57,24.75,0.0832769203340647,0.637734192037471,0.657585933667887,by_12,fp_8,11,12,0.0193892197348674,0.161127811399027,0.892590634728056,0.0498241239252762
time,42.539,9.773,0.0149322518462094,0.813178620584187,0.685173552387855,by_16,fp_20,8,4,0.00245089995114034,0.0067799705520919,0.734488751599089,-0.0025105572412949
work,52.959,22.1,0.0258869726837882,0.705564955568286,0.657190012905788,by_20,fp_20,5,4,0.0635798445762965,0.0389384261826375,0.379819381407623,0.012524584430134
leisure,40.427,14.188,0.085896630790496,0.740217888858372,0.608489075082156,by_12,fp_16,11,6,0.0651425665849653,0.0211966404309026,0.245504228768362,0.0654918554428467
home,46.491,79.039,0.0421249747307026,0.370357683422289,0.370357683422289,by_24,fp_20,4,4,0.0453904552800983,0.0845608664360549,0.650711861328793,0.0261707132548907
money,46.127,19.603,0.0266922229801265,0.701764795375019,0.631175286368402,by_12,fp_12,11,8,0.0488042604521878,0.115236083942737,0.702486235125841,0.00771322968920585
relig,33.812,57.591,0.0159356934102777,0.369922212618842,0.369922212618842,by_24,fp_20,4,4,0.0807211898069848,0.0545142032361186,0.403106036145015,0.00323937012875053
death,21.369,29.351,0.0226330763687007,0.42131309148265,0.46628529034182,by_20,fp_16,5,6,0.014756559205758,0.0176897718101751,0.545200990567726,0.00691891167626191
informal,85.491,70.892,0.0366994580326005,0.546677068479311,0.643988680676046,by_16,fp_8,8,12,0.0638993468208042,0.128068400776877,0.667134986889974,0.0144572245495764
swear,46.269,50.473,0.214550344557891,0.478272105186992,0.523820755161997,by_20,fp_16,5,6,0.080757974782956,0.132960266936483,0.622128770416462,0.204610380688767
netspeak,29.919,10.771,0.0213901396175788,0.735291226345539,0.581391733545792,by_16,fp_20,8,4,0.0222862277142368,0.0118674687567457,0.347472454901872,0.00829064248054445
assent,60.424,19.6,0.0218521577056814,0.755073477956613,0.698080655596291,by_16,fp_16,8,6,0.00882007453466138,0.0576061293170123,0.867219952018391,0.00557671342092791
nonflu,58.485,35.777,0.0299308746603218,0.620451507500371,0.49516001580403,by_20,fp_24,5,3,0.0201537113952079,0.018040518701911,0.472336231311332,0.014041188598704
filler,43.016,31.426,0.0793210819104365,0.57784583971414,0.450936130659939,by_20,fp_24,5,3,0.0364966280352493,0.0564507016047157,0.607340757646073,0.0672625441546005
