depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos
Analytic,40.542,14.539,0.0334976674810901,0.736043281712387,0.625902501530972,by_20,fp_24,5,3,0.00899341451883062,0.00250564392743058,0.217899921036166,0.0164213408740526
Clout,36.551,19.63,0.0184103210863351,0.650593617059148,0.527677656241729,by_20,fp_24,5,3,0.00765379038607084,0.0153208347380619,0.66685896528378,0.00504170878250731
Authentic,11.816,33.684,0.0285199771855172,0.259692307692308,0.173877214668315,by_20,fp_24,5,3,0.0305227883149977,0.0035893846300652,0.105222984060436,0.0169121600807947
Tone,36.924,47.302,0.144002122991712,0.438391945480018,0.789335575575005,by_20,fp_4,5,24,0.111008707239981,0.0298775448559024,0.212068561775414,0.125186973482477
WPS,58.77,14.408,0.0146410900369562,0.803110224384378,0.504888232160959,by_8,fp_20,16,4,0.00908710629511122,0.0160348448595797,0.638280233921464,-0.00178379945705354
Sixltr,56.942,120.91,0.0374037520688905,0.32016508107865,0.585549949269202,by_16,fp_4,8,24,0.0689748723696614,0.0384194439294209,0.357741873624174,0.00783534214947268
Dic,36.523,32.066,0.0341257208333632,0.532490632608727,0.476767333938164,by_20,fp_20,5,4,0.0201052981969598,0.0220526321411927,0.52309570143284,0.0198277120404322
was_function,23.649,25.524,0.0217553007622835,0.48093465926423,0.357295018809772,by_20,fp_24,5,3,0.0157354262537998,0.0088432772732755,0.359794293606006,0.0043486358014907
pronoun,44.593,53.931,0.0174905444564928,0.452610531444115,0.623168456577486,by_24,fp_12,4,8,0.0235866697827617,0.0285536833432051,0.547631184511193,0.00253853865761544
ppron,42.848,65.545,0.0188175699591696,0.395302279667506,0.56661884012933,by_24,fp_12,4,8,0.0336173942759136,0.0364441959209166,0.520173690299217,0.000885880883668588
i,51.081,69.941,0.0508708903416712,0.422080282923766,0.778056534164652,by_20,fp_4,5,24,0.0282141094635647,0.040955685154088,0.592103610838766,0.0323086635755769
we,21.915,15.715,0.0179714825092744,0.582381078926389,0.527325773754023,by_20,fp_20,5,4,0.017617351083331,0.00653620821460976,0.270610560289846,0.00911437456714659
you,103.059,23.988,0.0223192526909952,0.811187985548655,0.774623432849283,by_20,fp_20,5,4,0.0567360209508734,0.0575942625900283,0.503753343438739,0.00761751754421303
shehe,15.59,96.108,0.021245823129316,0.13957277659403,0.195701840275163,by_24,fp_16,4,6,0.0561094036445031,0.00575912946073942,0.0930865687560873,0.00608522639881803
they,49.666,9.501,0.0227503886587994,0.839420622982406,0.662195674782006,by_16,fp_24,8,3,0.0146527296932398,0.00713893176743718,0.327599241586942,0.00928156796260027
ipron,69.095,16.537,0.0360151822515594,0.806882940956652,0.869878589020293,by_20,fp_12,5,8,0.000587417380713884,0.0161053886764556,0.96481014763473,0.0157318651621084
article,18.535,37.343,0.0296978798504766,0.331704785425391,0.598237724318974,by_24,fp_8,4,12,0.0395797548873111,0.00482384809228764,0.108636411655693,0.0126405093476671
prep,40.649,27.566,0.0678234613839951,0.595895330938943,0.638927602141862,by_20,fp_16,5,6,0.021597464330487,0.0259803505409665,0.546060188160398,0.048710811349164
auxverb,49.096,26.035,0.0736851893588914,0.653471935685669,0.507049526560303,by_12,fp_16,11,6,0.0568663406460169,0.111181164971038,0.661605565419082,0.0439531106884284
adverb,33.163,104.733,0.0589083239068446,0.240492835180136,0.60315692074051,by_20,fp_4,5,24,0.199467987242838,0.0364721386908986,0.154582178620782,0.0344144701891014
conj,68.228,37.656,0.042973623526995,0.644365532091723,0.731024728924699,by_16,fp_8,8,12,0.0201905105541754,0.0321492831107767,0.614241686097906,0.0197329530682263
negate,14.526,22.542,0.0369717639113479,0.391874393007446,0.491507071800771,by_24,fp_16,4,6,0.00551695776611216,0.0325436547351019,0.855048108699349,0.0213720397542103
verb,73.647,60.143,0.0732666285326978,0.550467150011212,0.494853881132801,by_20,fp_20,5,4,0.0411236129131515,0.0486476328187581,0.541906625246552,0.0609672532909621
adj,67.297,14.788,0.035606204063936,0.819845282329293,0.819845282329293,by_24,fp_20,4,4,0.0094126038453326,0.0379012719938633,0.801060393417717,0.0240267629120728
compare,30.1,3.706,0.0139372221639795,0.89037448973555,0.89037448973555,by_24,fp_20,4,4,0.0048865048686404,0.00983438905164569,0.668056512389743,-0.00500000886216845
interrog,69.612,31.371,0.0485172131217302,0.689343750928374,0.780238486531017,by_20,fp_12,5,8,0.00765600277915779,0.0322929880926869,0.808355540100674,0.0278812812296277
number,98.674,21.422,0.0262976082305249,0.821626032507327,0.697254059554262,by_16,fp_20,8,4,0.0373769020189333,0.046956766764121,0.556797391145354,0.0108118126913633
quant,32.329,7.733,0.0408665005893391,0.806974190005492,0.758190730071373,by_24,fp_24,4,3,0.000700451514173417,0.0492662714525889,0.98598163992785,0.0288434468705203
affect,91.446,10.036,0.126198895163511,0.90110561478883,0.713058892637511,by_12,fp_24,11,3,0.012674721981885,0.141540910383869,0.917811691412552,0.107433135261864
posemo,107.996,14.998,0.184574783075801,0.878059092313446,0.797063548491059,by_12,fp_16,11,6,0.00886217801417244,0.328125381502423,0.973701765053626,0.159820333913067
negemo,15.555,16.351,0.0244420122880408,0.487525857205541,0.487525857205541,by_24,fp_20,4,4,0.00245199687765751,0.0111188600618385,0.819318935525631,0.013223423438237
anx,6.93,39.723,0.02371706358399,0.148543502025593,0.295129092360926,by_20,fp_8,5,12,0.0189662145505423,0.0094840349374945,0.333355070980397,0.00406194233237556
anger,34.446,44.064,0.0592845018547806,0.438746656476882,0.789575024068216,by_20,fp_4,5,24,0.00938083775924425,0.0718217186206571,0.884476078371763,0.0384747983925606
sad,40.068,28.735,0.106099434801003,0.582358327398515,0.275514624480562,by_12,fp_24,11,3,0.0862118376866909,0.044374016958719,0.339807225516204,0.0936328809360932
social,28.912,32.155,0.0169049152430282,0.473447197340626,0.589933966041865,by_20,fp_12,5,8,0.0235951056498754,0.0163210882337083,0.408883880094104,0.00200124268312074
family,25.799,20.795,0.0183884602749679,0.553697901017298,0.553697901017298,by_24,fp_20,4,4,0.0233811745650461,0.0281580101743746,0.546341784736021,0.0114954171385828
friend,25.689,38.484,0.122419741626862,0.400308540975176,0.500321355536079,by_16,fp_8,8,12,0.0949534789579574,0.0255718004647013,0.212169601159156,0.102908340320918
female,23.067,66.843,0.0224140606780406,0.256556556556557,0.408348601927826,by_24,fp_12,4,8,0.0690787631072809,0.0137821383932593,0.166328607867842,-0.000710846243705987
male,20.402,57.333,0.0224173372102611,0.262455779250016,0.348014465065502,by_24,fp_16,4,6,0.034073161225714,0.0184877363029577,0.351739357054791,0.00826618646593114
cogproc,55.243,4.362,0.0452690230536885,0.926818219947991,0.821597745339352,by_12,fp_20,11,4,0.0241742434791352,0.0124204814674794,0.33940633480915,0.0229740922168615
insight,31.798,16.984,0.0208631601885645,0.651838792997417,0.691992978078257,by_20,fp_16,5,6,0.0182502787275955,0.00782787156545006,0.300169738938024,0.000325082557752321
cause,45.788,53.427,0.0586942153257371,0.461502796956105,0.631545554229913,by_24,fp_12,4,8,0.0638546767676827,0.0199608528125647,0.238152200582991,0.0425570638706511
discrep,26.575,26.48,0.0393134950378378,0.500895297332956,0.429448678930216,by_24,fp_24,4,3,0.0168457923817418,0.0081850285433771,0.326998006492199,0.0238994478257166
tentat,18.014,28.035,0.0479818642400851,0.391191991139873,0.60662900632256,by_20,fp_8,5,12,0.0391456579396955,0.0121031910880526,0.236165129903687,0.032309645563838
certain,93.426,7.197,0.0498699595986181,0.9284755970305,0.825188629874733,by_12,fp_20,11,4,0.0267483489425274,0.161752252800632,0.858099397587212,0.0256594807028442
differ,16.31,31.339,0.0384617344098189,0.342294696635816,0.29395994322662,by_20,fp_20,5,4,0.0224889199276026,1e-08,4.44663220179549e-07,0.0192092952153493
percept,116.929,24.206,0.15382723282848,0.828490452403727,0.778425195015719,by_12,fp_12,11,8,0.0442262491005165,0.305032534362888,0.873371118510036,0.129016626691509
see,54.329,36.166,0.060962068588208,0.600353610696724,0.643195397037119,by_20,fp_16,5,6,0.0295984292524287,0.0242403467143484,0.450239558367869,0.0470925962606722
hear,150.069,27.606,0.112352028150975,0.844626424651752,0.765349680485927,by_20,fp_24,5,3,0.0300963619326376,0.103411016164871,0.774571545321964,0.0987153746894217
feel,57.978,13.467,0.116422520404701,0.811505353768633,0.720913171605138,by_20,fp_24,5,3,0.00949170756568674,0.0830092215062151,0.897387975873099,0.10625981016001
bio,12.521,36.298,0.148216664132819,0.256478010610623,0.340988934176962,by_24,fp_16,4,6,0.067890468636991,0.0108131339255543,0.137390584083634,0.134176153959123
body,26.973,27.263,0.129908000107935,0.497326499004351,0.612850363108103,by_20,fp_12,5,8,0.0190382274830955,0.0168294948132307,0.469210023268037,0.108914030868529
health,44.925,36.19,0.0365331162259395,0.553843308882451,0.40373554610269,by_12,fp_16,11,6,0.105360292536423,0.0213350887015061,0.168396736274384,0.0210031551906177
sexual,28.12,149.199,0.117366381006564,0.158584246471049,0.311453848177325,by_20,fp_8,5,12,0.0786100813319623,0.0596295362333328,0.431349111662348,0.106355512138617
ingest,102.116,18.036,0.098065374726455,0.849890139157068,0.585997934121428,by_8,fp_20,16,4,0.0197027389391938,0.0970459398893151,0.831238013681208,0.0764677581897117
drives,37.551,32.69,0.0388685752250308,0.534602297803277,0.408010778586252,by_20,fp_24,5,3,0.0117487132098691,0.0243981011914677,0.674972375727952,0.0286128472060465
affiliation,34.946,40.934,0.0414873655787224,0.460542962572483,0.803838316845158,by_20,fp_4,5,24,0.0189876588067112,0.00858791771148337,0.311432027751696,0.025871907108121
achieve,23.122,88.979,0.0390403160654895,0.20626042586596,0.555026239644417,by_20,fp_4,5,24,0.0462499540216966,0.00678851991174811,0.12799236871458,0.0195700444738961
power,13.191,67.287,0.0194619972229984,0.163908148810855,0.370325659741718,by_24,fp_8,4,12,0.0670414423362697,0.0111083101675351,0.142141335214008,0.00507602683184105
reward,57.98,41.764,0.0314665565041095,0.581288097529676,0.409729485258784,by_16,fp_20,8,4,0.0317279652284562,0.0624895505836202,0.663247699167319,0.0160083690170872
risk,81.268,53.546,0.058438414988987,0.602815731303871,0.623451146959958,by_12,fp_8,11,12,0.0486869541082616,0.0133589403501023,0.215307402153206,0.0225262734076518
focuspast,87.545,37.846,0.0689190057631644,0.698176105143112,0.649190782521644,by_20,fp_20,5,4,0.0206472286562619,0.11268694727582,0.84514676367161,0.0563851435347394
focuspresent,111.052,21.136,0.0348881514265592,0.840106514963537,0.807815409683426,by_20,fp_20,5,4,0.0287006153429031,0.045902075180927,0.615287127831732,0.0217458169937085
focusfuture,120.297,83.337,0.074959364956314,0.590751053360441,0.611609429595161,by_12,fp_8,11,12,0.225827626509243,0.472926153608921,0.676813731911326,0.0499454919363388
relativ,22.143,28.387,0.047090226223416,0.438214921828617,0.384248634531706,by_20,fp_20,5,4,0.0324303361628779,0.00464064568440925,0.125182702295997,0.02970492094921
