depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos
Analytic,16.393,19.707,0.030445276914031,0.45409972299169,0.624578515230602,by_24,fp_12,4,8,0.0124159484544581,0.00275711193533812,0.181710997287815,0.011726653677455
Clout,31.131,36.723,0.0214781099765652,0.458793880979751,0.404116324126449,by_20,fp_20,5,4,0.0171381380439982,0.00810797327350299,0.321157312963377,0.0112309383326171
Authentic,3.384,51.667,0.0270066955247994,0.0614702730195637,0.0468222488700304,by_24,fp_24,4,3,0.0445502911811986,1e-08,2.24465373630746e-07,0.0157614857251989
Tone,80.008,24.689,0.151734380721175,0.764186175344088,0.876091525985151,by_12,fp_4,11,24,0.0195855988257756,0.315895337702458,0.941619339004894,0.125710740118321
WPS,11.926,18.425,0.00726338116440152,0.392935982339956,0.492619926199262,by_24,fp_16,4,6,0.0113257049186966,0.00127008006913387,0.100833736869991,4.681569792786e-05
Sixltr,64.5,47.646,0.0283741590401789,0.575143117008186,0.618972218223694,by_20,fp_16,5,6,0.0380038529714479,0.0276495759813509,0.421144431027805,0.00947015598953271
Dic,41.436,23.027,0.0325034015871639,0.642787335370678,0.519154871931942,by_20,fp_24,5,3,0.0111283709361518,0.0223117083922585,0.667214577248407,0.0174913928851675
was_function,24.673,27.954,0.0221914058275664,0.468827788017558,0.514363742494997,by_20,fp_16,5,6,0.0143250664145823,0.0169255044376068,0.541606248335817,0.00157088100062441
pronoun,45.173,48.069,0.016438462360114,0.484470517577916,0.413426074223219,by_24,fp_24,4,3,0.0164383076110644,0.0218558726192706,0.57073614026492,0.00309362308597927
ppron,42.848,65.545,0.0188175699591696,0.395302279667506,0.56661884012933,by_24,fp_12,4,8,0.0276001619463382,0.0369998265796483,0.572752835161332,-0.00103064087540483
i,88.427,30.431,0.0488291062475073,0.743971798280301,0.613151693684178,by_12,fp_16,11,6,0.0206916244514146,0.0359261187679837,0.634538162864724,0.0341545799016091
we,23.407,31.988,0.021549085473408,0.422547161296146,0.422547161296146,by_16,fp_12,8,8,0.0194736081053587,0.00120758264134491,0.0583903826493832,0.00819142746452639
you,103.059,23.988,0.0223192526909952,0.811187985548655,0.774623432849283,by_20,fp_20,5,4,0.0475783966710592,0.0465585344210537,0.494583091682649,0.00499429055552536
shehe,10.838,91.914,0.0204931810547998,0.10547726564933,0.0812504685508659,by_24,fp_24,4,3,0.0509794581411256,0.00192626877985258,0.0364094568198585,0.00759102920277588
